DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6160	P8586	P6218	P8587	P8587S1	P6211	P5455	P1088	P1088S1	P6216	P5457	P5673	P5674	P6223	P1101	P5461	P5461S1	P5461S2	P5461S3	P4693	P6167	P6180	P6180S1	P6180S2	P8610	P8610S1	P8610S2	P6229	P6229S1	P8612	P8612S1	P8612S2	P6238	P8614	P8614S1	P8614S2	P6202	P781	P781S1	P781S2	P782	P783	LLAVEHOG	FEX_C
6003100	3	1	3	1	1						7	4	3	3	2		1						1	30	2			2					2				2									60031001	2519.83277999715
6003100	4	1	4	1	1						7	1	0	3	2		1						1	45	2			2					2				2									60031001	2519.83277999715
6003100	5	1	5	1	2		5	11		3																																				60031001	2519.83277999715
6003101	1	1	1	1	2	2	5	11		1																																				60031011	2049.86497282672
6003101	2	1	2	1	1						2	1			1		1	1		2	2	2	4	10	1	0	4000	2					2				2				1	1				60031011	2049.86497282672
6003101	4	1	4	1	2		11	5	5	1																																				60031011	2049.86497282672
6003102	1	1	1	1	2	4	4	7																																						60031021	3029.45772262674
6003102	2	1	2	1	2	9	4	7																																						60031021	3029.45772262674
6003102	3	1	3	1	1						3	6			1		1	2		2	2	2	4	10	2			2					2				2				1	2				60031021	3029.45772262674
6003102	4	1	4	1	1						1	2			1		1	2		2	2	2	4	10	2			2					2				2				1	2				60031021	3029.45772262674
6003102	5	1	5	1	2		3	5																																						60031021	3029.45772262674
6003102	6	1	6	1	2	7	3	5																																	1	2				60031021	3029.45772262674
6003102	7	1	7	1	2	1	5	11		1																																				60031021	3029.45772262674
6003103	1	1	1	1	2		3	5																																						60031031	2967.28415139805
6003103	2	1	2	1	2		5	11		3																																				60031031	2967.28415139805
6003103	4	1	4	1	2	4	5	11		3																																				60031031	2967.28415139805
6003103	5	1	5	1	2	9	5	11		1																																				60031031	2967.28415139805
6003103	7	1	7	1	1						3	8			1		1	1		2	2	2	4	15	2			2					2				2				1	1				60031031	2967.28415139805
6003103	8	1	8	1	1						3	6			1		1	2		2	2	2	4	15	2			2					2				2				1	1				60031031	2967.28415139805
6003104	1	1	1	1	2	2	5	11		1																																				60031041	2955.21156109877
6003104	2	1	2	1	2	9	5	11		1																																				60031041	2955.21156109877
6003104	3	1	3	1	2	5	5	11		1																																				60031041	2955.21156109877
6003105	1	1	1	2	2		1																																							60031051	2346.83901210325
6003105	2	1	2	1	2		4	6																																						60031051	2346.83901210325
6003105	3	1	3	1	2		3	5																																						60031051	2346.83901210325
6003105	4	1	4	1	1						3	6			1		1	2		2	2	2	4	15	2			2					2				2				1	2				60031051	2346.83901210325
6003105	5	1	5	1	1						2	3			1		1	1		2	2	2	4	10	2			2					2				2				1	2				60031051	2346.83901210325
6003105	6	1	6	1	1						2	1			1		1	1		2	2	2	4	10	2			2					2				2				4					60031051	2346.83901210325
6003106	1	1	1	1	2	9	5	11		1																																				60031061	1947.40969744813
6003106	2	1	2	1	2	4	4	6																																						60031061	1947.40969744813
6003106	3	1	3	1	1						3	7			1		1	1		2	2	2	4	20	2			2					2				2				1	2				60031061	1947.40969744813
6003106	4	1	4	1	2	3	3	2																																	1	2				60031061	1947.40969744813
6003106	5	1	5	1	2	3	3	2																																	1	2				60031061	1947.40969744813
6003107	1	1	1	1	2	4	4	7																																						60031071	1697.33765015351
6003107	2	1	2	1	1						3	7			1		1	1		2	2	2	4	30	1	0	2000	2					2				2				1	1				60031071	1697.33765015351
6003107	3	1	3	1	1						3	6			1		1	1		2	2	2	4	35	2			2					2				2				1	1				60031071	1697.33765015351
6003107	4	1	4	1	1						2	3			1		1	1		2	2	2	4	25	2			2					2				2				1	1				60031071	1697.33765015351
6003108	1	1	1	1	2		3	5																																						60031081	2437.85460053481
6003108	2	1	2	1	2		1																																							60031081	2437.85460053481
6003108	3	1	3	1	2	10	4	6																																						60031081	2437.85460053481
6003108	4	1	4	1	2	3	3	3																																	1	1				60031081	2437.85460053481
6003109	1	1	1	1	2	2	11	5	5	1																																				60031091	3157.47104021538
6003109	2	1	2	1	2	2	11	5	5	1																																				60031091	3157.47104021538
6003109	4	1	4	1	1						4	11		1	1		1	1		2	2	2	4	15	2			2					2				2				1	2				60031091	3157.47104021538
6003110	1	1	1	1	2	2	5	11		1																																				60031101	2157.92515326199
6003110	2	1	2	1	1						3	6			1		1	2		2	2	2	4	15	2			2					2				2				1	1				60031101	2157.92515326199
6003110	3	1	3	1	1						2	3			1		1	2		2	2	2	4	15	2			2					2				2				1	1				60031101	2157.92515326199
6003110	4	1	4	1	2	2	5	11		1																																				60031101	2157.92515326199
6003110	5	1	5	1	1						2	2			1		1	1		2	2	2	4	10	2			2					2				2				1	4				60031101	2157.92515326199
6003111	1	1	1	1	2	9	5	11		1																																				60031111	2534.51854904763
6003111	2	1	2	1	2	3	5	11		3																																				60031111	2534.51854904763
6003112	1	1	1	1	2		5	11		1																																				60031121	2825.91436551383
6003112	2	1	2	1	2	2	5	11		1																																				60031121	2825.91436551383
6003112	3	1	3	1	1						2	5			1		1	1		2	2	2	4	10	1	0	4000	2					2				2				1	2				60031121	2825.91436551383
6003113	1	1	1	1	2		3	5																																						60031131	2931.96126655179
6003113	2	1	2	1	2	4	4	9																																						60031131	2931.96126655179
6003113	3	1	3	1	1						2	4			1		1	2		2	2	2	4	10	1	0	3000	2					2				2				1	2				60031131	2931.96126655179
6003113	4	1	4	1	1						2	2			1		1	2		2	2	2	4	15	1	0	3000	2					2				2				1	2				60031131	2931.96126655179
6003113	5	1	5	2	1						2	1			1		1	2		2	2	2	4	15	1	0	3000	2					2				2				1	2				60031131	2931.96126655179
6003113	6	1	6	2	1						1	1			1		1	4		2	2	2	4	5	1	0	3000	2					2				2				1	2				60031131	2931.96126655179
6003114	1	1	1	1	2	2	7	2	2	3																																				60031141	2534.51854904763
6003114	2	1	2	1	2		5	11		1																																				60031141	2534.51854904763
6003114	3	1	3	1	1						1	1			2	2	1	2		1	1	1	4	15	2			2					2				2				1	1				60031141	2534.51854904763
6003115	1	1	1	1	2		3	3																																						60031151	2889.78390116449
6003115	2	1	2	1	2		5	11		1																																				60031151	2889.78390116449
6003115	3	1	3	1	2	16	5	10		1																																				60031151	2889.78390116449
6003115	4	1	4	1	1						3	7			1		1	1		2	2	2	4	20	2			2					2				2				1	1				60031151	2889.78390116449
6003115	5	1	5	1	1						2	5			1		1	1		2	2	2	4	10	2			2					2				2				1	1				60031151	2889.78390116449
6003116	1	1	1	2	2	10	3	2																																						60031161	2827.7936165958
6003117	1	1	1	1	2	9	7	2	2	2																																				60031171	2978.78621019874
6003117	2	1	2	1	2	4	4	6																																						60031171	2978.78621019874
6003117	3	1	3	1	1						2	5			1		1	1		2	2	2	3	5	2			2					2				2				1	2				60031171	2978.78621019874
