DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6160	P8586	P6218	P8587	P8587S1	P6211	P5455	P1088	P1088S1	P6216	P5457	P5673	P5674	P6223	P1101	P5461	P5461S1	P5461S2	P5461S3	P4693	P6167	P6180	P6180S1	P6180S2	P8610	P8610S1	P8610S2	P6229	P6229S1	P8612	P8612S1	P8612S2	P6238	P8614	P8614S1	P8614S2	P6202	P781	P781S1	P781S2	P782	P783	LLAVEHOG	FEX_C
6003117	4	1	4	2	1						1	3			1		1	1		2	2	2	4	5	2			2					2				2				1	2				60031171	2978.78621019874
6003118	1	1	1	1	2		5	11		1																																				60031181	2566.45331687296
6003118	2	1	2	1	2		5	11		1																																				60031181	2566.45331687296
6003118	3	1	3	1	1						4	10		1	1		1	1		2	2	2	4	10	1	0	4000	2					2				2				1	2				60031181	2566.45331687296
6003119	1	1	1	1	2		5	11		1																																				60031191	2196.50219570562
6003119	2	1	2	1	2	9	5	11		1																																				60031191	2196.50219570562
6003119	3	1	3	1	2		5	11		3																																				60031191	2196.50219570562
6003120	1	1	1	1	2	1	4	7																																						60031201	2733.59431791446
6003120	2	1	2	1	2	1	3	5																																						60031201	2733.59431791446
6003121	1	1	1	1	2		11	5	5	1																																				60031211	2069.63489221188
6003121	3	1	3	1	2	2	11	5	5	1																																				60031211	2069.63489221188
6003122	1	1	1	1	2		5	11		2																																				60031221	2090.10329084383
6003122	2	1	2	1	2		5	11		3																																				60031221	2090.10329084383
6003123	1	1	1	1	2		5	11		2																																				60031231	2771.06773822801
6003123	2	1	2	1	2		3	5																																						60031231	2771.06773822801
6003123	3	1	3	1	2	10	4	9																																						60031231	2771.06773822801
6003123	4	1	4	1	2	10	4	6																																	1	2				60031231	2771.06773822801
6003123	5	1	5	1	2	9	5	11		3																																				60031231	2771.06773822801
6003123	6	1	6	1	2		5	11		3																																				60031231	2771.06773822801
6003123	7	1	7	1	2		3	3																																						60031231	2771.06773822801
6003124	1	1	1	1	2		3	5																																						60031241	2279.07371821867
6003124	2	1	2	1	2		5	11		1																																				60031241	2279.07371821867
6003124	3	1	3	1	1						7	2	2	1	2		1						3	40	2			2					2				2									60031241	2279.07371821867
6003124	4	1	4	1	2		5	11		3																																				60031241	2279.07371821867
6003124	5	1	5	1	1						3	9			2	2	1	1		1	2	2	4	15	2			1	99	4	4		2				2				1	2				60031241	2279.07371821867
6003124	6	1	6	1	1						3	7			2	2	1	1		1	2	2	4	15	2			1	99	4	4		2				2				1	2				60031241	2279.07371821867
6003125	1	1	1	1	2		3	5																																						60031251	1893.59144238353
6003125	2	1	2	1	2		7	2	2	1																																				60031251	1893.59144238353
6003125	3	1	3	1	2	3	10	3	3	1																																				60031251	1893.59144238353
6003125	4	1	4	1	2		9	3	3	1																																				60031251	1893.59144238353
6003125	5	1	5	1	2	9	5	11		1																																				60031251	1893.59144238353
6003126	1	1	1	1	2	9	7	2	2	2																																				60031261	2590.87404227241
6003126	2	1	2	1	2	9	7	2	2	3																																				60031261	2590.87404227241
6003127	1	1	1	1	2		7	2	2	2																																				60031271	2647.22953549719
6003127	2	1	2	1	2	9	5	11		3																																				60031271	2647.22953549719
6003127	3	1	3	1	1						3	6			1		1	1		2	2	2	4	10	2			2					2				2				1	2				60031271	2647.22953549719
6003127	4	1	4	1	1						2	1			1		1	1		2	2	2	4	10	2			2					2				2				1	2				60031271	2647.22953549719
6003127	5	1	5	1	1						1	3			1		1	1		2	2	2	4	10	2			2					2				2				1	2				60031271	2647.22953549719
6003128	1	1	1	1	2		5	11		2																																				60031281	2487.89801217182
6003128	2	1	2	1	2		5	11		3																																				60031281	2487.89801217182
6003128	3	1	3	1	1						6	3	2	2	1		1						3	90	2			2					2				2									60031281	2487.89801217182
6003128	4	1	4	2	2		1																																							60031281	2487.89801217182
6003129	1	1	1	1	2		11	5	5	1																																				60031291	2484.60916572596
6003129	2	1	2	1	2		5	11		1																																				60031291	2484.60916572596
6003129	3	1	3	1	1						5	1	1	1	2		1						3	45	2			2					2				2									60031291	2484.60916572596
6003129	4	1	4	1	1						3	7			2	2	1	2		1	1	2	4	15	2			2					2				2				1	2				60031291	2484.60916572596
6003129	5	1	5	1	2		3	5																																						60031291	2484.60916572596
6003130	1	1	1	1	2		5	11		1																																				60031301	2514.74862966247
6003130	2	1	2	1	2	4	5	11		3																																				60031301	2514.74862966247
6003130	3	1	3	1	1						3	6			1		1	2		2	2	2	4	5	2			2					2				2				1	2				60031301	2514.74862966247
6003130	4	1	4	1	1						2	3			1		1	2		2	2	2	4	5	2			2					2				2				1	2				60031301	2514.74862966247
6003132	1	1	1	1	2		4	9																																						60031321	2476.13620768819
6003132	2	1	2	1	2		7	3	3	1																																				60031321	2476.13620768819
6003132	3	1	3	1	2	2	7	2	2	3																																				60031321	2476.13620768819
6003132	4	1	4	1	2	9	5	11		1																																				60031321	2476.13620768819
6003132	6	1	6	1	1						2	2			2	2	1	1		2	2	2	4	10	2			2					2				2				3					60031321	2476.13620768819
6003133	1	1	1	1	2		3	5																																						60031331	2087.59593897087
6003133	2	1	2	1	2		11	5	5	1																																				60031331	2087.59593897087
6003133	3	1	3	1	1						2	2			1		1	1		2	2	2	4	10	2			2					2				2				1	2				60031331	2087.59593897087
6003134	1	1	1	1	2		10	5	5	1																																				60031341	2534.51854904763
6003134	2	1	2	1	2		10	5	5	1																																				60031341	2534.51854904763
6003134	3	1	3	1	1						2	2			1		1	1		2	2	2	4	10	1	0	3000	2					2				2				1	1				60031341	2534.51854904763
6003135	1	1	1	1	2	4	9	2	4	3																																				60031351	2458.39313643769
6003135	2	1	2	1	2	9	9	2	2	2																																				60031351	2458.39313643769
6003135	3	1	3	1	1						1	3			2	2	1	1		1	1	1	4	15	2			2					2				2				1	1				60031351	2458.39313643769
6003136	1	1	1	1	2		13	2	7	1																																				60031361	2529.77671451422
6003136	2	1	2	1	2		7	2	2	1																																				60031361	2529.77671451422
6003136	3	1	3	1	2	2	11	5	5	1																																				60031361	2529.77671451422
6003136	4	1	4	1	1						7	5	4	1	1		1						3	30	2			2					2				2									60031361	2529.77671451422
6003136	5	1	5	1	1						7	4	3	1	1		1						3	25	2			2					2				2									60031361	2529.77671451422
6003136	6	1	6	1	1						4	10		1	1		1	1		2	2	2	4	10	2			2					2				2				1	3				60031361	2529.77671451422
6003137	1	1	1	1	2		4	9																																						60031371	34.0626194512536
6003137	2	1	2	1	2		5	11		1																																				60031371	34.0626194512536
6003139	1	1	1	1	2	9	11	5	5	1																																				60031391	19.9464001298616
6003139	2	1	2	1	2		5	11		1																																				60031391	19.9464001298616
6003139	3	1	3	1	2		5	11		1																																				60031391	19.9464001298616
6003141	1	1	1	1	2		4	9																																						60031411	42.9571708769293
6003141	2	1	2	1	1						3	7			1		3	2		2	2	1	3	30	2			2					2				2				1	3				60031411	42.9571708769293
6003141	3	1	3	1	2	4	5	12		3																																				60031411	42.9571708769293
6003141	4	1	4	1	2		5	11		1																																				60031411	42.9571708769293
6003141	5	1	5	1	1						2	2			1		1	1		2	2	2	1	15	2			2					2				2				1	3				60031411	42.9571708769293
6003141	6	1	6	2	1						1	1			1		1	1		2	2	2	1	15	2			2					2				2				1	3				60031411	42.9571708769293
6003142	1	1	1	1	2		3	5																																						60031421	23.6451992616297
6003142	2	1	2	1	2		3	3																																						60031421	23.6451992616297
6003143	1	1	1	1	2		7	1	1	2																																				60031431	22.6570671619026
6003145	1	1	1	1	2		5	11		1																																				60031451	48.2764778814585
6003145	2	1	2	1	2	2	11	4	4	5																																				60031451	48.2764778814585
6003145	3	1	3	1	1						2	4			1		1	2		2	2	2	1	15	2			2					2				2				1	2				60031451	48.2764778814585
6003145	4	1	4	1	1						2	1			1		1	2		1	2	2	1	15	2			2					2				2				1	2				60031451	48.2764778814585
6003146	1	1	1	1	2		3	5																																						60031461	20.6113738638862
6003146	2	1	2	1	2		5	11		1																																				60031461	20.6113738638862
6003148	1	1	1	1	2		9	4	4	3																																				60031481	27.4501012786358
6003148	2	1	2	1	2		11	6	6	5																																				60031481	27.4501012786358
6003148	3	1	3	1	2		11	6	6	5																																				60031481	27.4501012786358
6003148	4	1	4	1	1						4	10		1	1		1	1		1	2	2	1	15	2			2					2				2				1	2				60031481	27.4501012786358
6003152	1	1	1	1	1						5	1	2	5	1		1						1	5	2			2					2				2									60031521	423.836666016037
6003152	2	1	2	1	1						5	1	1	3	1		1						1	5	2			2					2				2									60031521	423.836666016037
6003152	3	1	3	1	1						3	7			1		1	2		1	1	1	1	10	2			2					2				2				1	2				60031521	423.836666016037
6003153	1	1	1	1	2	4	5	11		1																																				60031531	310.030334748197
6003153	2	1	2	1	2	2	9	3	3	5																																				60031531	310.030334748197
