DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5095	P5100	P5120	P8692	P8692S1A1	P8692S2	P5110	P5130	P5140	P5160	P5160S1	P5160S1A1	P5160S2	P5160S2A1	LLAVEHOG	FEX_C
5008703	1	1	591	1	3								290000	2					50087031	380.164843306178
5008704	1	1	591	1	5							250000		2					50087041	551.13221805361
5008705	1	1	591	1	1		1	1	2		99	99		2					50087051	498.78137747944
5008706	1	1	591	1	1		1	1	1		35000000	200000		2					50087061	260.341842417336
5008707	1	1	591	1	1		1	1	2		12000000	60000		2					50087071	345.236283688484
5008708	1	1	591	1	1		2				99	99		2					50087081	409.831004561675
5008709	1	1	591	1	1		1	1	2		15000000	15000000		1	2		1	15000000	50087091	321.30394757626
5008710	1	1	591	1	4							300000		2					50087101	226.901561829982
5008711	1	1	591	1	1		1	1	1		100000000	250000		2					50087111	237.406649691949
5008712	1	1	591	1	3								250000	2					50087121	365.370045068216
5008713	1	1	591	1	3								350000	2					50087131	403.43196589588
5008714	1	1	591	1	2	2000000	1	1	1		100000000	500000		2					50087141	444.722401673797
5008715	1	1	591	1	1		2				5000000	20000		2					50087151	430.027968563791
5008716	1	1	591	1	1		2				10000000	200000		2					50087161	404.100356915801
5008717	1	1	591	1	3								420000	2					50087171	279.89429452469
5008718	1	1	591	1	1		2				99	50000		2					50087181	347.23155922425
5008719	1	1	591	1	4							50000		2					50087191	486.519320866423
5008720	1	1	591	1	3								150000	2					50087201	287.315661187958
5008721	1	1	591	1	1		1	1	2		80000000	400000		2					50087211	259.223380760514
5008722	1	1	591	1	1		1	3			900000000	5000000		2					50087221	186.14547542672
5008723	1	1	591	1	1		2				15000000	150000		2					50087231	410.584782735717
5008724	1	1	591	1	1		1	3			130000000	250000		2					50087241	476.056300057194
5008725	1	1	591	1	1		1	1	1		150000000	500000		2					50087251	601.156237729717
5008726	1	1	591	1	3								300000	2					50087261	403.43196589588
5008727	1	1	591	1	1		1	1	1		200000000	400000		2					50087271	249.77966828082
5008728	1	1	591	1	4							300000		2					50087281	279.89429452469
5008729	1	1	591	1	3								300000	2					50087291	403.43196589588
5008730	1	1	591	1	3								350000	2					50087301	360.944321063139
5008731	1	1	591	1	1		1	1	1		10000000	200000		2					50087311	321.30394757626
5008732	1	1	591	1	1		2				99	99		2					50087321	290.516462443335
5008733	1	1	591	1	1		1	1	1		99	99		2					50087331	321.30394757626
5008734	1	1	591	1	1		1	1	1		20000000	50000		2					50087341	332.585106446823
5008735	1	1	591	1	1		2				99	99		2					50087351	246.298841993445
5008736	1	1	591	1	4							99		2					50087361	430.027968563791
5008737	1	1	591	1	1		2				99	99		2					50087371	305.063281875253
5008738	1	1	591	1	1		2				15000000	150000		2					50087381	321.204314230752
5008740	1	1	591	1	1		1	1	1		20000000	100000		2					50087401	345.236283688484
5008741	1	1	591	1	1		2				120000000	200000		2					50087411	346.018638815945
5008742	1	1	591	1	3								300000	2					50087421	427.160521649973
5008743	1	1	591	1	4							99		2					50087431	385.396749697992
5008744	1	1	591	1	3								400000	2					50087441	390.295809877133
5008745	1	1	591	1	1		2				80000000	250000		2					50087451	407.857689900957
5008746	1	1	591	1	4							300000		2					50087461	467.729584712717
5008747	1	1	591	1	4							200000		2					50087471	403.43196589588
5008748	1	1	591	1	3								400000	2					50087481	476.80098332255
5008749	1	1	591	1	1		1	1	1		8000000	150000		2					50087491	321.30394757626
5008750	1	1	591	1	1		1	1	2		12000000	200000		2					50087501	430.217822501417
5008751	1	1	591	1	1		2				99	99		2					50087511	533.905014099877
5008752	1	1	591	1	4							100000		2					50087521	430.217822501417
5008753	1	1	591	1	5							200000		2					50087531	363.149087455379
5008754	1	1	591	1	4							100000		2					50087541	308.206514641784
5008755	1	1	591	1	1		1	1	1		100000000	300000		2					50087551	422.624821839976
5008757	1	1	591	1	3								200000	2					50087571	402.761060172169
5008758	1	1	591	1	1		2				35000000	200000		2					50087581	291.119914796871
5008759	1	1	591	1	1		2				99	170000		2					50087591	321.30394757626
5008760	1	1	591	1	1		1	1	1		50000000	100000		2					50087601	276.383241427326
5008761	1	1	591	1	1		2				20000000	150000		2					50087611	286.221000708728
5008762	1	1	591	1	4							500000		2					50087621	363.149087455379
5008763	1	1	591	1	1		1	1	1		20000000	100000		2					50087631	336.032921716008
5008764	1	1	591	1	1		1	1	1		20000000	300000		1	2		1	5000000	50087641	376.472579508174
5008765	1	1	591	1	1		1	1	1		60000000	200000		2					50087651	342.818131520493
5008766	1	1	591	1	2	550000	2				40000000	300000		2					50087661	323.782054928062
5008767	1	1	591	1	4							200000		2					50087671	462.962266336375
5008768	1	1	591	1	1		1	3			15000000	80000		2					50087681	377.825992307152
5008769	1	1	591	1	3								440000	2					50087691	139.93010468358
5008771	1	1	591	1	3								200000	2					50087711	555.194085797794
5008772	1	1	591	1	3								165000	2					50087721	657.560287679304
5008773	1	1	591	1	3								200000	2					50087731	448.696393546716
5008774	1	1	591	1	3								560000	2					50087741	154.445425102279
5008775	1	1	591	1	4							500000		2					50087751	634.082519657769
5008776	1	1	591	1	1		1	1	1		70000000	350000		2					50087761	174.917607453187
5008777	1	1	591	1	3								62000	2					50087771	137.123509904218
5008778	1	1	591	1	3								62000	2					50087781	160.035269041991
5008779	1	1	591	1	3								62000	2					50087791	154.206025924158
5008781	1	1	591	1	3								304000	2					50087811	100.084993034433
5008782	1	1	591	1	3								62000	2					50087821	130.789608486504
5008783	1	1	591	1	3								75000	2					50087831	117.99431790441
5008784	1	1	591	1	3								200000	2					50087841	247.380796126887
5008785	1	1	591	1	1		1	1	2		200000000	700000		2					50087851	408.38254890334
5008786	1	1	591	1	3								110000	2					50087861	161.460675331809
5008786	2	1	591	2	3								110000	2					50087862	161.460675331809
5008786	3	1	591	3	3								110000	2					50087863	161.460675331809
5008787	1	1	591	1	3								300000	2					50087871	192.871668697795
5008788	1	1	591	1	1		1	1	1		60000000	150000		2					50087881	638.704695521525
5008789	1	1	591	1	3								700000	2					50087891	136.315708552883
5008790	1	1	591	1	3								555000	2					50087901	147.872124506444
5008792	1	1	591	1	1		1	1	2		70000000	550000		2					50087921	247.380796126887
5008793	1	1	591	1	1		1	1	1		99	99		2					50087931	115.623134522556
5008794	1	1	591	1	3								540000	2					50087941	174.917607453187
5008795	1	1	591	1	3								534000	2					50087951	238.851366632107
5008796	1	1	591	1	3								650000	2					50087961	231.75770315085
5008797	1	1	591	1	4							500000		2					50087971	181.688677905208
5008798	1	1	591	1	1		1	1	1		200000000	1000000		2					50087981	129.918063261836
5008799	1	1	591	1	3								320000	2					50087991	175.789152677855
5008800	1	1	591	1	3								580000	2					50088001	129.918063261836
5008803	1	1	591	1	1		1	1	1		500000000	900000		2					50088031	136.315708552883
5008804	1	1	591	1	3								500000	2					50088041	225.928460033017
5008805	1	1	591	1	1		1	1	2		50000000	200000		2					50088051	345.333835086264
5008806	1	1	591	1	1		1	1	2		270000000	800000		2					50088061	130.725864613171
5008807	1	1	591	1	1		1	2		2	300000000	1000000		2					50088071	115.559390649223
5008808	1	1	591	1	3								350000	2					50088081	163.649665172688
5008809	1	1	591	1	3								350000	2					50088091	533.672950809002
5008810	1	1	591	1	1		1	1	1		99	100000		2					50088101	185.15004055435
5008811	1	1	591	1	3								320000	2					50088111	208.038142661742
5008812	1	1	591	1	3								500000	2					50088121	160.622678713907
5008813	1	1	591	1	1		1	1	1		99	700000		2					50088131	136.315708552883
5008814	1	1	591	1	1		1	1	1		100000000	400000		2					50088141	186.414460917773
5008815	1	1	591	1	3								300000	2					50088151	211.569787420404
5008816	1	1	591	1	3								700000	2					50088161	175.789152677855
5008817	1	1	591	1	1		1	2		2	300000000	800000		2					50088171	231.75770315085
5008818	1	1	591	1	1		1	1	1		250000000	900000		2					50088181	151.482182516831
5008819	1	1	591	1	3								400000	2					50088191	232.589161532565
5008820	1	1	591	1	1		1	2		2	350000000	1000000		2					50088201	115.559390649223
5008821	1	1	591	1	1		1	1	1		200000000	600000		2					50088211	91.3161643615319
5008822	1	1	591	1	3								700000	2					50088221	279.629786110774
5008823	1	1	591	1	3								540000	2					50088231	136.315708552883
5008824	1	1	591	1	1		1	2		2	100000000	700000		2					50088241	175.789152677855
5008825	1	1	591	1	1		1	1	1		70000000	300000		2					50088251	363.373671288958
5008826	1	1	591	1	3								320000	2					50088261	256.911906667546
5008827	1	1	591	1	1		1	1	1		120000000	600000		2					50088271	269.563197863236
5008828	1	1	591	1	3								400000	2					50088281	398.624648705814
5008829	1	1	591	1	1		1	1	1		100000	400000		2					50088291	380.240548297999
5008830	1	1	591	1	3								450000	2					50088301	382.778516389968
5008831	1	1	591	1	1		1	2		2	160000000	650000		2					50088311	397.027228145736
5008832	1	1	591	1	4							150000		2					50088321	409.901112566949
5008833	1	1	591	1	4							200000		2					50088331	397.47237390696
5008834	1	1	591	1	4							100000		2					50088341	462.317751761278
5008835	1	1	591	1	4							120000		2					50088351	350.09488844525
5008836	1	1	591	1	4							200000		2					50088361	332.471552494721
5008837	1	1	591	1	4							150000		2					50088371	397.790443112817
5008838	1	1	591	1	3								2000000	2					50088381	350.200911513869
5008839	1	1	591	1	4							100000		2					50088391	397.578396975579
5008840	1	1	591	1	3								200000	2					50088401	410.007135635568
5008841	1	1	591	1	3								300000	2					50088411	410.007135635568
5008843	1	1	591	1	3								1300000	2					50088431	397.790443112817
5008844	1	1	591	1	4							100000		2					50088441	471.059194523524
5008845	1	1	591	1	1		1	3			50000000	60000		2					50088451	335.151277047283
5008846	1	1	591	1	4							200000		2					50088461	328.708668235654
5008847	1	1	591	1	3								1200000	2					50088471	302.399333777683
5008848	1	1	591	1	4							200000		2					50088481	457.808713371754
5008849	1	1	591	1	1		2				80000000	300000		2					50088491	515.825800594261
5008850	1	1	591	1	4							100000		2					50088501	395.773228886104
5008851	1	1	591	1	4							50000		2					50088511	398.09849590305
5008852	1	1	591	1	3								800000	2					50088521	384.337932239434
5008853	1	1	591	1	3								190000	2					50088531	397.896466181436
5008854	1	1	591	1	4							250000		2					50088541	457.60668365014
5008855	1	1	591	1	1		2				30000000	100000		2					50088551	341.909932940234
5008856	1	1	591	1	4							100000		2					50088561	457.60668365014
5008857	1	1	591	1	1		1	2		2	200000	250000		2					50088571	202.278331236492
5008858	1	1	591	1	3								80000	2					50088581	483.906001692487
5008859	1	1	591	1	4							150000		2					50088591	457.60668365014
5008860	1	1	591	1	1		1	2		2	20000000	80000		2					50088601	350.09488844525
5008861	1	1	591	1	4							250000		2					50088611	397.896466181436
5008862	1	1	591	1	2	1100000	1	2		2	15000000	500000		2					50088621	304.978741198431
5008863	1	1	591	1	1		1	2		2	12000000	400000		2					50088631	411.393724235909
5008864	1	1	591	1	3								400000	2					50088641	411.393724235909
5008865	1	1	591	1	3								480000	2					50088651	322.407493937273
5008866	1	1	591	1	3								350000	2					50088661	351.883977911292
5008867	1	1	591	1	1		1	1	1		30000000	250000		2					50088671	455.174879441809
5008868	1	1	591	1	1		1	2		2	50000000	200000		2					50088681	224.594844700333
5008869	1	1	591	1	5							300000		2					50088691	421.116614980358
5008870	1	1	591	1	2	344000	2				12000000	300000		2					50088701	553.024841492304
5008871	1	1	591	1	5							300000		2					50088711	345.207041025021
5008872	1	1	591	1	3								300000	2					50088721	520.585192804587
5008873	1	1	591	1	3								230000	2					50088731	435.499350971635
5008874	1	1	591	1	1		1	1	1		60000000	400000		2					50088741	399.603212017947
5008875	1	1	591	1	1		1	2		2	50000000	300000		2					50088751	558.364723073246
5008876	1	1	591	1	1		1	1	2		20000000	300000		2					50088761	730.385695572885
5008877	1	1	591	1	1		1	1	1		30000000	200000		2					50088771	412.854721876231
5008878	1	1	591	1	4							200000		2					50088781	790.221059132797
5008879	1	1	591	1	1		1	1	1		10000000	150000		2					50088791	597.346242927947
5008881	1	1	591	1	5							150000		2					50088811	743.384336918331
5008881	2	1	591	2	5							100000		2					50088812	743.384336918331
5008881	3	1	591	3	5							200000		2					50088813	743.384336918331
5008882	1	1	591	1	1		1	1	1		15000000	200000		2					50088821	503.011378976838
5008883	1	1	591	1	3								400000	2					50088831	630.590975930666
5008884	1	1	591	1	4							400000		2					50088841	780.616837788037
5008885	1	1	591	1	3								400000	2					50088851	859.380716537319
5008886	1	1	591	1	3								450000	2					50088861	681.769911897326
5008887	1	1	591	1	5							400000		2					50088871	621.993372438093
5008888	1	1	591	1	3								300000	2					50088881	531.081296557218
5008889	1	1	591	1	3								100000	2					50088891	892.854870653921
5008890	1	1	591	1	1		1	1	1		70000000	450000		2					50088901	791.374192279031
5008892	1	1	591	1	2	182000	1	2		2	50000000	400000		2					50088921	881.384311394762
5008893	1	1	591	1	3								430000	2					50088931	1031.03868647835
5008894	1	1	591	1	1		1	1	1		50000000	300000		2					50088941	797.013184021169
5008895	1	1	591	1	1		2				65000000	450000		2					50088951	802.488149154108
5008896	1	1	591	1	3								300000	2					50088961	899.276416715472
5008897	1	1	591	1	1		1	1	1		70000000	450000		2					50088971	672.626954023691
5008898	1	1	591	1	1		2				80000000	600000		2					50088981	800.072888440679
5008899	1	1	591	1	1		1	1	2		15000000	150000		2					50088991	524.02686797594
5008900	1	1	591	1	1		2				35000000	350000		2					50089001	747.553512885707
5008901	1	1	591	1	1		1	1	1		15000000	150000		2					50089011	552.8590569354
5008902	1	1	591	1	1		2				70000000	200000		2					50089021	634.084209371926
5008904	1	1	591	1	4							80000		2					50089041	772.196540329137
5008905	1	1	591	1	1		2				10000000	100000		2					50089051	596.649954394607
5008906	1	1	591	1	4							50000		2					50089061	557.161016535752
5008907	1	1	591	1	4							200000		2					50089071	443.691713021971
5008908	1	1	591	1	4							10000000		2					50089081	447.930261926424
5008910	1	1	591	1	1		2				300000000	200000		2					50089101	499.359125461615
5008911	1	1	591	1	1		1	1	2		40000000	300000		2					50089111	499.359125461615
5008912	1	1	591	1	1		1	1	1		3000000	200000		2					50089121	474.713908300267
5008913	1	1	591	1	3								170000	2					50089131	623.42746047253
5008914	1	1	591	1	5							300000		2					50089141	635.386071391052
5008915	1	1	591	1	3								240000	2					50089151	596.649954394607
5008916	1	1	591	1	4							200000		2					50089161	499.359125461615
5008920	1	1	591	1	4							200000		2					50089201	596.649954394607
5008921	1	1	591	1	1		2				40000000	200000		2					50089211	350.639432993432
5008922	1	1	591	1	3								100000	2					50089221	544.44958475482
5008924	1	1	591	1	1		2				30000000	400000		2					50089241	1127.37794098459
5008925	1	1	591	1	1		1	1	1		500000000	250000		2					50089251	1288.78658154672
5008926	1	1	591	1	1		2				30000000	200000		2					50089261	2092.95381138128
5008927	1	1	591	1	3								90000	2					50089271	1563.09118639723
5008928	1	1	591	1	1		1	1	1		40000000	250000		2					50089281	1116.46102676225
5008929	1	1	591	1	1		1	1	2		10000000	50000		2					50089291	712.179032235222
5008930	1	1	591	1	1		1	3			12000000	80000		2					50089301	728.566585407787
5008930	2	1	591	2	4							60000		2					50089302	728.566585407787
5008931	1	1	591	1	1		2				5000000	20000		2					50089311	624.137336692882
5008932	1	1	591	1	4							200000		2					50089321	598.030896566887
5008933	1	1	591	1	4							200000		2					50089331	1068.18733476581
5008934	1	1	591	1	4							150000		2					50089341	1242.97602104916
5008935	1	1	591	1	4							100000		2					50089351	559.658844691696
5008936	1	1	591	1	1		2				5000000	50000		2					50089361	730.95093295473
5008937	1	1	591	1	1		2				10000000	200000		2					50089371	549.851979780405
5008938	1	1	591	1	4							100000		2					50089381	573.41518332156
5008939	1	1	591	1	1		2				5000000	50000		2					50089391	816.640966065176
5008940	1	1	591	1	1		2				10000000	60000		2					50089401	1015.9529397096
5008941	1	1	591	1	4							30000		2					50089411	666.472440953543
5008942	1	1	591	1	1		2				5000000	40000		2					50089421	988.921765138882
5008943	1	1	591	1	1		2				5000000	100000		2					50089431	908.207496816492
5008944	1	1	591	1	4							30000		2					50089441	567.104916430587
5008945	1	1	591	1	5							100000		2					50089451	635.542012890852
5008946	1	1	591	1	1		1	1	1		5000000	80000		2					50089461	477.920821607926
5008947	1	1	591	1	1		1	1	1		30000000	200000		2					50089471	633.162113270301
5008948	1	1	591	1	5							50000		2					50089481	666.472440953543
5008949	1	1	591	1	4							160000		2					50089491	559.658844691696
5008950	1	1	591	1	1		1	1	1		20000000	100000		2					50089501	508.936691320373
5008951	1	1	591	1	1		2				5000000	50000		2					50089511	688.70825457832
5008952	1	1	591	1	1		2				150000000	400000		2					50089521	368.54112087159
5008953	1	1	591	1	1		1	1	1		60000000	300000		2					50089531	630.193495606605
5008954	1	1	591	1	1		1	1	2		130000000	400000		2					50089541	684.577584063947
5008957	1	1	591	1	4							50000		2					50089571	677.680278467478
5008960	1	1	591	1	1		2				70000000	300000		2					50089601	926.773953614215
5008961	1	1	591	1	1		2				30000000	250000		2					50089611	824.598409541985
5008962	1	1	591	1	1		1	1	1		25000000	100000		2					50089621	661.473756543808
5008963	1	1	591	1	1		1	1	1		30000000	200000		2					50089631	892.540263675984
5008964	1	1	591	1	1		1	1	1		35000000	120000		2					50089641	617.71139990559
5008965	1	1	591	1	1		2				20000000	150000		2					50089651	1057.17622836801
5008966	1	1	591	1	1		2				45000000	200000		2					50089661	810.832261733509
5008967	1	1	591	1	4							200000		2					50089671	993.444935220017
5008968	1	1	591	1	1		2				45000000	500000		2					50089681	585.29835605825
5008969	1	1	591	1	1		2				30000000	150000		2					50089691	628.460736135284
5008970	1	1	591	1	1		2				20000000	100000		2					50089701	924.833436424042
5008971	1	1	591	1	1		2				40000000	300000		2					50089711	697.787510332303
5008972	1	1	591	1	1		2				30000000	150000		2					50089721	660.322755114893
5008973	1	1	591	1	1		1	1	1		20000000	250000		2					50089731	835.467616870961
5008974	1	1	591	1	4							100000		2					50089741	890.909080882857
5008975	1	1	591	1	1		2				50000000	400000		2					50089751	824.598409541985
5008976	1	1	591	1	1		2				5000000	180000		2					50089761	799.963054404533
5008977	1	1	591	1	1		1	1	2		3000000	60000		2					50089771	926.773953614215
5008978	1	1	591	1	1		1	1	1		30000000	300000		2					50089781	741.50548753649
5008979	1	1	591	1	1		2				5000000	100000		2					50089791	772.887325151887
5008980	1	1	591	1	1		2				10000000	100000		2					50089801	764.200325483769
5008983	1	1	591	1	1		2				50000000	80000		2					50089831	585.29835605825
5008985	1	1	591	1	1		2				10000000	70000		2					50089851	321.432654528579
5008986	1	1	591	1	1		2				20000000	200000		2					50089861	618.610882501136
5008988	1	1	591	1	1		2				180000000	500000		2					50089881	324.626284199362
5008989	1	1	591	1	4							400000		2					50089891	877.855674851654
5008990	1	1	591	1	4							500000		2					50089901	1440.68255221382
5008991	1	1	591	1	3								400000	2					50089911	1159.05542615711
5008992	1	1	591	1	1		1	1	1		300000000	400000		2					50089921	1036.78413150389
5008994	1	1	591	1	2	800000	1	1	1		110000000	550000		2					50089941	1265.5984245941
5008995	1	1	591	1	3								200000	2					50089951	1589.6282417697
5008995	2	1	591	2	3								100000	2					50089952	1589.6282417697
5008996	1	1	591	1	1		2				150000000	600000		2					50089961	1546.65202505498
5008997	1	1	591	1	3								500000	2					50089971	1283.61059754813
5008999	1	1	591	1	3								280000	2					50089991	1458.21025697343
5009000	1	1	591	1	3								350000	2					50090001	1703.3892561902
5009001	1	1	591	1	1		1	1	1		120000	350000		2					50090011	1348.81042789697
5009002	1	1	591	1	3								750000	2					50090021	1313.15036794487
5009004	1	1	591	1	3								500000	2					50090041	1232.27044081739
5009006	1	1	591	1	3								400000	2					50090061	1189.97936901996
5009007	1	1	591	1	1		1	1	1		30000000	300000		2					50090071	1542.63217772007
5009008	1	1	591	1	1		1	1	1		100000000	800000		2					50090081	1559.57024183748
5009009	1	1	591	1	1		1	1	1		130000000	400000		2					50090091	1125.15447041633
5009010	1	1	591	1	3								300000	2					50090101	1261.75283228153
5009011	1	1	591	1	1		1	1	1		90000000	500000		2					50090111	1182.67229563504
5009012	1	1	591	1	3								320000	2					50090121	1817.49407751887
5009013	1	1	591	1	4							350000		2					50090131	1614.23121835432
5009014	1	1	591	1	1		1	1	2		150000000	1000000		2					50090141	968.082515750645
5009015	1	1	591	1	2	480000	2				220000000	1300000		2					50090151	1817.49407751887
5009016	1	1	591	1	3								900000	2					50090161	1817.49407751887
5009017	1	1	591	1	3								400000	2					50090171	1410.44906759023
5009018	1	1	591	1	3								350000	2					50090181	1156.07841327918
5009019	1	1	591	1	1		1	1	1		100000000	250000		2					50090191	1316.83549174932
5009020	1	1	591	1	1		1	2		2	180000000	1200000		2					50090201	1684.94685543061
5009021	1	1	591	1	4							200000		2					50090211	1458.21025697343
5009022	1	1	591	1	1		1	1	1		85000000	300000		2					50090221	1283.61059754813
5009023	1	1	591	1	1		1	2		2	15000000	600000		2					50090231	1614.23121835432
5009024	1	1	591	1	3								450000	2					50090241	1187.03348097908
5009025	1	1	591	1	3								380000	2					50090251	1693.11332875517
5009026	1	1	591	1	1		1	3			80000000	200000		2					50090261	1243.62047708904
5009027	1	1	591	1	3								350000	2					50090271	1313.15036794487
5009028	1	1	591	1	3								400000	2					50090281	1516.41322710942
5009029	1	1	591	1	3								250000	2					50090291	1817.49407751887
5009030	1	1	591	1	1		1	3			300000000	500000		2					50090301	1491.06021942941
5009031	1	1	591	1	1		1	1	1		100000000	350000		2					50090311	1274.54441995189
5009032	1	1	591	1	3								350000	2					50090321	1924.37824636002
5009033	1	1	591	1	1		1	2		2	250000000	25000000		2					50090331	1177.96730338283
5009034	1	1	591	1	3								300000	2					50090341	912.71342830729
5009034	2	1	591	2	3								150000	2					50090342	912.71342830729
5009035	1	1	591	1	1		1	1	1		320000000	550000		2					50090351	1282.22642508202
5009036	1	1	591	1	3								380000	2					50090361	1636.02647341088
5009037	1	1	591	1	1		1	1	2		200000	1000000		2					50090371	1182.67229563504
5009038	1	1	591	1	1		1	1	1		200000000	500000		2					50090381	1243.62047708904
5009039	1	1	591	1	1		1	2		2	300000000	700000		2					50090391	1270.0712292596
5009040	1	1	591	1	3								300000	2					50090401	1168.12160375336
5009041	1	1	591	1	4							250000		2					50090411	1086.54852242335
5009042	1	1	591	1	4							700000		2					50090421	1243.62047708904
5009043	1	1	591	1	1		1	1	2		125000000	350000		2					50090431	1409.46367824785
5009044	1	1	591	1	1		2				100000000	500000		2					50090441	1516.41322710942
5009045	1	1	591	1	1		1	1	1		100000000	1000000		2					50090451	998.178183510909
5009046	1	1	591	1	3								200009	2					50090461	1282.22642508202
5009047	1	1	591	1	4							200000		2					50090471	1225.63942897206
5009048	1	1	591	1	1		1	1	3		80000000	400000		2					50090481	1182.67229563504
5009049	1	1	591	1	3								450000	2					50090491	1225.60830413501
5009050	1	1	591	1	5							1400000		2					50090501	1113.3149683238
5009051	1	1	591	1	4							400000		2					50090511	1703.3892561902
5009052	1	1	591	1	3								230000	2					50090521	1431.61637461758
5009053	1	1	591	1	1		1	3			160000000	1000000		2					50090531	1310.20447990399
5009054	1	1	591	1	1		1	1	1		80000000	300000		2					50090541	1274.54441995189
5009055	1	1	591	1	3								380000	2					50090551	1516.41322710942
5009056	1	1	591	1	1		1	1	2		180000000	18000000		2					50090561	1125.15447041633
5009057	1	1	591	1	1		1	2		2	120000000	1200000		2					50090571	1066.80837009505
5009058	1	1	591	1	3								350000	2					50090581	1583.30727549147
5009059	1	1	591	1	3								360000	2					50090591	1035.8844272322
5009060	1	1	591	1	3								350000	2					50090601	1817.49407751887
5009061	1	1	591	1	1		1	2		2	100000000	250000		2					50090611	1301.37010386766
5009062	1	1	591	1	1		1	1	1		30000000	2000000		2					50090621	1225.60830413501
5009062	2	1	591	2	3								650000	2					50090622	1225.60830413501
5009063	1	1	591	1	2	2500000	2				400000000	2500000		2					50090631	1216.57325137581
5009064	1	1	591	1	1		1	1	2		600000000	3000000		2					50090641	1125.15447041633
5009065	1	1	591	1	3								1600000	2					50090651	1310.20447990399
5009066	1	1	591	1	2	1100000	2				260000000	1600000		2					50090661	1339.74425030072
5009067	1	1	591	1	1		1	1	1		300000000	1000000		2					50090671	1282.22642508202
5009068	1	1	591	1	1		1	2		2	600000000	3000000		2					50090681	1531.42527163371
5009069	1	1	591	1	3								1500000	2					50090691	1156.07841327918
5009070	1	1	591	1	1		1	2		2	400000000	2000000		2					50090701	1367.8892205045
5009071	1	1	591	1	2	1200000	1	1	1		50000	800000		2					50090711	1516.41322710942
5009072	1	1	591	1	3								1280000	2					50090721	1577.57596791783
5009073	1	1	591	1	3								250000	2					50090731	1322.21654554111
5009074	1	1	591	1	1		1	1	1		280000000	1600000		2					50090741	1431.61637461758
5009075	1	1	591	1	1		1	1	1		300000000	1600000		2					50090751	1125.15447041633
5009076	1	1	591	1	3								350000	2					50090761	1313.15036794487
5009077	1	1	591	1	1		1	1	2		140000000	450000		2					50090771	1332.06224517059
5009078	1	1	591	1	1		1	1	1		170000000	800000		2					50090781	1189.97936901996
5009079	1	1	591	1	3								700000	2					50090791	1817.49407751887
5009080	1	1	591	1	1		1	2		2	200000000	1200000		2					50090801	1189.97936901996
5009081	1	1	591	1	1		1	3			300000000	800000		2					50090811	1313.15036794487
5009082	1	1	591	1	1		1	1	2		300000000	700000		2					50090821	1370.66819316357
5009083	1	1	591	1	3								800000	2					50090831	1516.41322710942
5009084	1	1	591	1	1		1	2		2	200000000	800000		2					50090841	1344.07431080772
5009085	1	1	591	1	3								400000	2					50090851	1848.41802038172
5009086	1	1	591	1	1		1	2		2	100000000	800000		2					50090861	1225.63942897206
5009087	1	1	591	1	2	850000	1	2		2	170000000	900000		2					50090871	1614.23121835432
5009088	1	1	591	1	1		1	1	1		150000000	900000		2					50090881	1348.81042789697
5009089	1	1	591	1	1		2				200000000	1000000		2					50090891	1525.47940470566
5009090	1	1	591	1	3								450000	2					50090901	1274.54441995189
5009091	1	1	591	1	1		1	1	1		100000000	350000		2					50090911	1598.35061245778
5009092	1	1	591	1	1		1	1	1		220000000	400000		2					50090921	1182.67229563504
5009093	1	1	591	1	1		1	1	1		80000000	400000		2					50090931	1243.62047708904
5009094	1	1	591	1	1		1	2		2	200000000	400000		2					50090941	1292.67677514438
5009096	1	1	591	1	1		1	2		2	600000000	1500000		2					50090961	1301.13830230774
5009097	1	1	591	1	3								640000	2					50090971	1431.61637461758
5009098	1	1	591	1	1		1	1	1		800000000	1000000		2					50090981	1313.15036794487
5009099	1	1	591	1	2	1300000	1	1	2		500000000	400000		2					50090991	1393.24222818451
5009100	1	1	591	1	1		1	3			400000000	4000000		2					50091001	1310.20447990399
5009101	1	1	591	1	3								1500000	2					50091011	1125.15447041633
5009102	1	1	591	1	3								500000	2					50091021	1274.54441995189
5009103	1	1	591	1	3								700000	2					50091031	958.904332806152
5009104	1	1	591	1	3								600000	2					50091041	1719.67608627397
5009105	1	1	591	1	1		1	2		2	230000000	500000		2					50091051	1332.06224517059
5009106	1	1	591	1	1		1	1	2		130000000	600000		2					50091061	1270.0712292596
5009107	1	1	591	1	1		1	1	1		90000000	500000		2					50091071	1274.54441995189
5009108	1	1	591	1	3								600000	2					50091081	1614.23121835432
5009109	1	1	591	1	1		1	2		2	3000000	1500000		2					50091091	1234.7056065683
5009110	1	1	591	1	4							650000		2					50091101	1452.45427143643
5009111	1	1	591	1	1		1	2		3	300000000	8000000		2					50091111	1189.97936901996
5009112	1	1	591	1	3								400000	2					50091121	1587.66846083552
5009113	1	1	591	1	1		1	2		2	99	500000		2					50091131	1071.51336234725
5009114	1	1	591	1	2	250000	1	1	1		170000000	800000		2					50091141	1601.43963068396
5009115	1	1	591	1	2	400000	1	1	1		100000000	600000		2					50091151	1208.11172421245
5009116	1	1	591	1	1		1	1	1		100000000	200000		2					50091161	1431.61637461758
5009117	1	1	591	1	1		1	1	2		75000000	400000		2					50091171	1511.70823485722
5009118	1	1	591	1	1		1	1	1		400000	600000		2					50091181	1177.96730338283
