DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5095	P5100	P5120	P8692	P8692S1A1	P8692S2	P5110	P5130	P5140	P5160	P5160S1	P5160S1A1	P5160S2	P5160S2A1	LLAVEHOG	FEX_C
5000115	1	1	591	1	1		1	1	3		30000000	200000		2					50001151	795.193534911922
5000116	1	1	591	1	3								170000	2					50001161	669.928296254917
5000117	1	1	591	1	1		1	1	1		60000000	300000		2					50001171	1003.4998061685
5000118	1	1	591	1	1		1	1	1		30000000	300000		2					50001181	827.130216918573
5000119	1	1	591	1	4							500000		2					50001191	769.576664714386
5000120	1	1	591	1	1		1	1	1		100000000	700000		2					50001201	908.895107993382
5000121	1	1	591	1	4							200000		2					50001211	1011.5048601387
5000122	1	1	591	1	3								380000	2					50001221	1030.67698789566
5000123	1	1	591	1	1		1	2		2	30000000	400000		2					50001231	845.064125837573
5000124	1	1	591	1	3								350000	2					50001241	907.353985375846
5000125	1	1	591	1	3								180000	2					50001251	802.310548160254
5000126	1	1	591	1	1		1	2		2	60000000	450000		2					50001261	879.825405176909
5000127	1	1	591	1	3								250000	2					50001271	537.546044349581
5000128	1	1	591	1	1		2				10000000	150000		2					50001281	645.113086667291
5000129	1	1	591	1	2	200000	1	2		2	30000000	200000		2					50001291	669.928296254917
5000130	1	1	591	1	4							150000		2					50001301	749.219988468813
5000131	1	1	591	1	1		2				15000000	200000		2					50001311	612.916599225021
5000132	1	1	591	1	1		1	3			50000000	300000		2					50001321	1022.97483770503
5000133	1	1	591	1	1		2				20000000	300000		2					50001331	804.203069249562
5000134	1	1	591	1	1		2				40000000	200000		2					50001341	753.419590992628
5000137	1	1	591	1	1		2				45000000	350000		2					50001371	630.191249916469
5000138	1	1	591	1	3								700000	2					50001381	762.777317326512
5000139	1	1	591	1	3								450000	2					50001391	797.461922622876
5000140	1	1	591	1	1		1	1	2		250000000	25000000		2					50001401	598.844878197274
5000143	1	1	591	1	3								450000	2					50001431	939.246009905767
5000145	1	1	591	1	4							250000		2					50001451	904.561404609403
5000147	1	1	591	1	1		1	1	1		30000000	400000		2					50001471	639.705494885682
5000148	1	1	591	1	1		1	1	1		50000000	500000		2					50001481	639.705494885682
5000149	1	1	591	1	3								600000	2					50001491	533.040121850507
5000150	1	1	591	1	3								350000	2					50001501	795.585265390154
5000151	1	1	591	1	1		2				100000000	600000		2					50001511	485.019531889249
5000152	1	1	591	1	3								550000	2					50001521	485.019531889249
5000153	1	1	591	1	1		1	1	1		200000000	700000		2					50001531	578.851563595414
5000157	1	1	591	1	1		1	1	2		15000000	200000		2					50001571	536.80989594814
5000158	1	1	591	1	1		2				30000000	150000		2					50001581	724.587213916001
5000159	1	1	591	1	1		1	1	2		100000000	500000		2					50001591	673.709499227935
5000160	1	1	591	1	3								350000	2					50001601	716.529598509213
5000163	1	1	591	1	3								400000	2					50001631	1643.8914967607
5000166	1	1	591	1	1		1	1	1		300000000	1500000		2					50001661	858.742818318412
5000167	1	1	591	1	4							350000		2					50001671	1744.09006286882
5000168	1	1	591	1	3								400000	2					50001681	1427.25633820344
5000169	1	1	591	1	1		1	1	2		100000000	400000		2					50001691	528.919087971255
5000170	1	1	591	1	4							150000		2					50001701	673.709499227935
5000172	1	1	591	1	3								200000	2					50001721	787.059998937462
5000173	1	1	591	1	3								160000	2					50001731	702.686535852624
5000174	1	1	591	1	3								180000	2					50001741	829.572333382044
5000175	1	1	591	1	3								600000	2					50001751	682.99360835333
5000176	1	1	591	1	1		1	1	2		60000000	200000		2					50001761	829.572333382044
5000177	1	1	591	1	3								350000	2					50001771	791.31118763196
5000178	1	1	591	1	1		1	1	1		50000000	300000		2					50001781	702.686535852624
5000179	1	1	591	1	2	370000	2				60000000	400000		2					50001791	674.01726406463
5000180	1	1	591	1	4							150000		2					50001801	760.984391720266
5000181	1	1	591	1	3								380000	2					50001811	596.026480697694
5000182	1	1	591	1	1		1	2		4	60000000	300000		2					50001821	760.676626883571
5000183	1	1	591	1	1		1	3			45000000	150000		2					50001831	764.813648626481
5000184	1	1	591	1	1		2				40000000	250000		2					50001841	878.278315287596
5000185	1	1	591	1	3								50000	2					50001851	878.278315287596
5000186	1	1	591	1	3								75000	2					50001861	1236.35422954562
5000188	1	1	591	1	1		2				90000000	300000		2					50001881	683.301373190026
5000189	1	1	591	1	1		1	2		2	100000000	500000		2					50001891	713.628169101719
5000190	1	1	591	1	3								200000	2					50001901	702.686535852624
5000191	1	1	591	1	3								500000	2					50001911	34.2595094200724
5000192	1	1	591	1	1		1	2		3	40000000	120000		2					50001921	32.1220066634006
5000193	1	1	591	1	1		1	1	2		700000	700000		2					50001931	29.2138837522614
5000194	1	1	591	1	1		1	1	1		5000000	600000		2					50001941	25.9036531521308
5000195	1	1	591	1	1		1	1	1		20000000	20000000		2					50001951	28.7016993826592
5000196	1	1	591	1	5							900000		2					50001961	32.7788382297128
5000199	1	1	591	1	1		1	1	1		30000000	600000		2					50001991	41.4965917225506
5000200	1	1	591	1	1		1	1	3		80000000	500000		2					50002001	34.1691721507231
5000201	1	1	591	1	3								400000	2					50002011	1159.05542615711
5000202	1	1	591	1	3								350000	2					50002021	1313.15036794487
5000203	1	1	591	1	1		1	1	2		90000000	400000		2					50002031	1516.41322710942
5000205	1	1	591	1	1		1	1	1		30000000	600000		2					50002051	1301.13830230774
5000206	1	1	591	1	3								320000	2					50002061	1728.74226387022
5000207	1	1	591	1	4							500000		2					50002071	1159.05542615711
5000208	1	1	591	1	3								950000	2					50002081	1371.38446291791
5000209	1	1	591	1	1		1	1	1		150000000	800000		2					50002091	1243.62047708904
5000210	1	1	591	1	3								900000	2					50002101	1143.28682560882
5000211	1	1	591	1	2	200000	2				80000000	400000		2					50002111	1574.64732208246
5000214	1	1	591	1	2	800000	1	1	2		220000000	600000		2					50002141	1817.49407751887
5000215	1	1	591	1	3								700000	2					50002151	1634.87923378213
5000216	1	1	591	1	1		1	1	1		180000000	800000		2					50002161	1243.62047708904
5000217	1	1	591	1	2	500000	2				150000000	500000		2					50002171	1300.35878027451
5000218	1	1	591	1	2	500000	1	1	1		100000000	500000		2					50002181	1313.15036794487
5000219	1	1	591	1	2	500000	1	1	1		100000000	500000		2					50002191	1243.62047708904
5000220	1	1	591	1	1		1	1	1		230000000	600000		2					50002201	1274.54441995189
5000221	1	1	591	1	4							700000		2					50002211	1159.05542615711
5000222	1	1	591	1	2	800000	2				110000000	700000		2					50002221	1817.49407751887
5000223	1	1	591	1	3								700000	2					50002231	1332.06224517059
5000224	1	1	591	1	1		2				140000000	600000		2					50002241	1243.62047708904
5000225	1	1	591	1	1		1	1	2		120000000	500000		2					50002251	1066.80837009505
5000226	1	1	591	1	3								670000	1	1	100000	2		50002261	1225.63942897206
5000227	1	1	591	1	1		1	2		2	120000000	1000000		2					50002271	1301.13830230774
5000229	1	1	591	1	1		1	1	1		18000000	700000		2					50002291	1699.02807084616
5000230	1	1	591	1	3								400000	2					50002301	1308.44537569267
5000231	1	1	591	1	3								600000	2					50002311	1516.41322710942
5000232	1	1	591	1	3								380000	2					50002321	1703.3892561902
5000233	1	1	591	1	1		1	2		2	160000000	800000		2					50002331	1159.05542615711
5000234	1	1	591	1	3								460000	2					50002341	1159.05542615711
5000235	1	1	591	1	3								850000	2					50002351	1411.374583377
5000236	1	1	591	1	1		1	1	1		180000000	800000		2					50002361	1216.57325137581
5000237	1	1	591	1	2	317000	2				100000000	300000		2					50002371	963.377523498443
5000238	1	1	591	1	1		1	1	1		150000000	600000		2					50002381	1144.06634764206
5000240	1	1	591	1	4							400000		2					50002401	1308.44537569267
5000241	1	1	591	1	1		1	1	1		20000000	200000		2					50002411	1216.57325137581
5000242	1	1	591	1	3								200000	2					50002421	1286.58761042606
5000243	1	1	591	1	3								350000	2					50002431	1044.95060482844
5000246	1	1	591	1	2	830000	2				220000000	800000		2					50002461	1189.97936901996
5000248	1	1	591	1	3								750000	2					50002481	1006.68846374362
5000249	1	1	591	1	3								550000	2					50002491	1727.31617123524
5000250	1	1	591	1	1		1	3			200000000	800000		2					50002501	1301.13830230774
5000251	1	1	591	1	1		1	1	1		180000000	600000		2					50002511	1243.62047708904
5000252	1	1	591	1	3								900000	2					50002521	1462.54031748043
5000253	1	1	591	1	3								600000	2					50002531	1286.58761042606
5000254	1	1	591	1	1		1	2		2	70000000	450000		2					50002541	1301.13830230774
5000256	1	1	591	1	3								300000	2					50002561	1477.80727911644
5000257	1	1	591	1	1		1	1	1		99	500000		2					50002571	1580.73648680077
5000258	1	1	591	1	3								450000	2					50002581	1583.30727549147
5000259	1	1	591	1	5							1000000		2					50002591	1407.68091471794
5000261	1	1	591	1	3								600000	2					50002611	1431.61637461758
5000262	1	1	591	1	1		1	2		6	100000000	500000		2					50002621	1376.95539810074
5000265	1	1	591	1	4							300000		2					50002651	1291.29260267827
5000267	1	1	591	1	1		1	2		2	170000000	850000		2					50002671	1098.1072447031
5000269	1	1	591	1	3								400000	2					50002691	1614.23121835432
5000270	1	1	591	1	3								420000	2					50002701	1431.61637461758
5000271	1	1	591	1	3								600000	2					50002711	1915.31206876377
5000272	1	1	591	1	3								500000	2					50002721	1159.05542615711
5000273	1	1	591	1	2	2000000	1	2		2	500000000	650000		2					50002731	1348.81042789697
5000274	1	1	591	1	3								720000	2					50002741	1282.22642508202
5000276	1	1	591	1	2	900000	1	1	1		90000000	9000000		2					50002761	1221.27824362802
5000277	1	1	591	1	1		1	1	2		99	750000		2					50002771	466.661912198761
5000279	1	1	591	1	3								250000	2					50002791	740.098362673178
5000279	2	1	591	2	3								350000	2					50002792	740.098362673178
5000279	3	1	591	3	3								200000	2					50002793	740.098362673178
5000281	1	1	591	1	3								450000	2					50002811	693.820119736896
5000282	1	1	591	1	1		1	2		3	20000000	1000000		2					50002821	592.039814269176
5000283	1	1	591	1	2	1800000	2				250000000	12000000		2					50002831	528.029652100457
5000285	1	1	591	1	1		2				65000000	450000		2					50002851	657.792417223441
5000286	1	1	591	1	3								300000	2					50002861	645.00901358268
5000287	1	1	591	1	3								400000	2					50002871	692.998318193166
5000288	1	1	591	1	2	570000	2				1000000	200000		2					50002881	277.735881949409
5000289	1	1	591	1	1		1	1	1		100000	20000		2					50002891	125.637516060033
5000291	1	1	591	1	3								350000	2					50002911	2643.24730721662
5000292	1	1	591	1	3								100000	2					50002921	125.637516060033
5000293	1	1	591	1	3								150000	2					50002931	361.091333594164
5000295	1	1	591	1	1		1	1	1		99	450000		2					50002951	678.154746386976
5000296	1	1	591	1	1		1	1	1		30000000	300000		2					50002961	678.154746386976
5000298	1	1	591	1	3								170000	2					50002981	831.255448413964
5000299	1	1	591	1	1		1	1	1		99	99		2					50002991	647.636068618014
5000300	1	1	591	1	3								180000	2					50003001	656.295334681764
5000301	1	1	591	1	4							300000		2					50003011	647.636068618014
5000302	1	1	591	1	4							250000		2					50003021	831.255448413964
5000304	1	1	591	1	1		1	3			99	200000		2					50003041	685.954248315466
5000305	1	1	591	1	1		1	1	2		99	100000		2					50003051	559.820170661082
5000306	1	1	591	1	3								700000	2					50003061	1249.26757932612
5000307	1	1	591	1	1		1	1	1		150000000	1000000		2					50003071	879.490678921992
5000308	1	1	591	1	1		1	1	1		65000000	650000		2					50003081	1043.82622084359
5000309	1	1	591	1	3								1000000	2					50003091	813.741412542897
5000310	1	1	591	1	1		1	1	1		10000000	300000		2					50003101	2343.62211575881
5000311	1	1	591	1	1		1	3			300000000	1200000		2					50003111	983.419498300599
5000312	1	1	591	1	4							250000		2					50003121	2515.60359539463
5000313	1	1	591	1	4							300000		2					50003131	2262.88209389181
5000314	1	1	591	1	2	400000	2				80000000	400000		2					50003141	1661.8113722334
5000315	1	1	591	1	1		1	1	1		60000000	500000		2					50003151	1954.78618147562
5000316	1	1	591	1	3								400000	2					50003161	2641.75941544461
5000317	1	1	591	1	1		1	1	1		70000000	350000		2					50003171	1774.58723276621
