"DIRECTORIO","CANT_HOG_COMPLETOS","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P1070","P4005","P4015","P4567","P8520","P8520S1","P8520S1A1","P8520S3","P8520S4","P8520S4A1","P8520S5","P4065","P4065S1","P4065S2","P4065S3","P4065S4","P5661","P5661S1","P5661S2","P5661S3","P5661S4","P5661S5","P5661S6","P5661S7","P5661S9","P1891","P1891S1","P1891S2","P1891S3","P1891S4","P1891S5","P1_DEPARTAMENTO","FEX_C","CLASE"
6000594,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",433.162865305056,2
6000595,1,1,1,1,1,3,4,3,1.79769313486232e+308,1,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",300.990370341052,2
6000596,1,1,1,1,1,1,4,2,1.79769313486232e+308,1,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,4,1,1,1.79769313486232e+308,2,2,2,2,2,"17",253.981682102522,2
6000597,1,1,1,1,1,1,4,2,1.79769313486232e+308,1,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1575.65075594625,2
6000598,1,1,1,1,1,1,4,2,1.79769313486232e+308,1,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",183.311468925452,2
6000599,1,1,1,1,2,1,4,4,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,1,1,1,1,1,1.79769313486232e+308,1,2,1,2,2,"17",1351.21430710299,1
6000600,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,2,2,1,1,1,1.79769313486232e+308,1,2,2,2,1,"63",842.481618821238,1
6000601,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,2,2,2,2,"63",1255.91804891307,1
6000603,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,2,2,2,1,1,1.79769313486232e+308,2,2,2,2,2,"63",817.759636362368,1
6000604,2,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"63",893.124237033993,1
6000605,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,3,2,1,1.79769313486232e+308,2,2,2,2,2,"63",862.248320822525,1
6000606,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,4,2,1,1,4,1,1,1.79769313486232e+308,1,2,1,2,2,"63",976.985392708881,1
6000607,2,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,2,"63",1154.88611715237,1
6000608,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"63",927.29312542325,1
6000609,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"63",532.954374116028,1
6000610,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,2,2,2,1.79769313486232e+308,1,1,1,2,1,"63",1100.31512639501,1
6000613,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,3,1,2,3,1,1.79769313486232e+308,1,1,2,2,2,"63",826.60615517582,1
6000614,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,3,2,2,2,2,1.79769313486232e+308,1,1,2,2,2,"63",1144.80381085516,1
6000615,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,2,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"63",817.759636362368,1
6000616,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"63",979.516492633024,1
6000617,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,2,1,1,2,2,1,1.79769313486232e+308,2,1,2,2,2,"63",856.186758946898,1
6000618,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,2,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"63",1219.9309217531,1
6000620,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,3,3,3,2,2,2,2,1.79769313486232e+308,1,1,1,2,1,"63",1307.72596153209,1
6000622,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"63",978.499153082168,1
6000624,1,1,1,1,2,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"63",985.426652368598,1
6000625,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"63",1077.23315948106,1
6000626,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"63",761.511515614412,1
6000630,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,2,1,2,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,2,3,3,1,1,1,2,2,1.79769313486232e+308,2,2,2,2,2,"63",394.689627433392,2
6000631,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,2,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,3,1,4,1,3,3,2,1.79769313486232e+308,2,1,2,2,1,"63",440.448413974211,2
6000632,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,2,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,1,1,3,3,1,1.79769313486232e+308,1,1,2,2,2,"63",173.517770327546,2
6000635,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,2,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,4,1,4,1,2,2,2,1.79769313486232e+308,2,1,2,2,2,"63",173.517770327546,2
6000637,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,2,2,2,2,1,1.79769313486232e+308,2,1,2,2,2,"73",2126.80807082123,1
6000638,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,1,1,1.79769313486232e+308,1,2,2,2,2,"73",1359.09471684321,1
6000639,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"73",1575.60045312426,1
6000640,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,3,1,1,1.79769313486232e+308,2,2,2,2,2,"73",1350.84578677973,1
6000641,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,2,1,1,1,1.79769313486232e+308,2,2,2,2,2,"73",787.47907015428,1
6000642,1,1,1,1,3,7,5,4,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,4,4,1,1.79769313486232e+308,1,1,2,2,2,"73",2104.70591496819,1
6000643,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,2,1,2,1,1,1.79769313486232e+308,2,2,2,2,2,"73",1207.29423507724,1
6000644,1,1,1,1,3,5,5,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,1,2,1,2,1,2,1,2,1.79769313486232e+308,2,1,2,2,2,"73",2248.74106292764,1
6000645,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"73",1157.78205543553,1
6000646,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,1,1,1,1,1,1.79769313486232e+308,1,1,1,2,2,"73",2305.89645698431,1
6000647,1,1,1,1,1,1,3,3,1.79769313486232e+308,1,4,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,4,1,1,1.79769313486232e+308,1,2,1,2,2,"73",1157.78205543553,1
6000648,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,4,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,2,"73",1167.64344558992,1
6000649,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,4,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,3,4,4,4,4,1,1.79769313486232e+308,1,1,1,2,2,"73",893.160139750107,1
6000650,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,4,1,1,1.79769313486232e+308,2,2,2,2,2,"73",1263.46312503136,1
6000651,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,1,1,2,2,2,"73",1147.66017636266,1
6000652,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,1,1,1.79769313486232e+308,2,1,2,2,2,"73",1001.74481993249,1
6000653,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,4,1,1.79769313486232e+308,2,1,2,1,2,"73",1326.98138343483,1
6000654,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"73",963.969113639225,1
6000655,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,2,1,1,1.79769313486232e+308,2,1,2,1,1,"73",875.616344513329,1
6000656,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"73",1170.78303018711,1
6000657,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,1,"73",1001.74481993249,1
6000658,1,1,1,1,2,3,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"73",1492.16613522209,1
6000659,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,1,2,2,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"73",963.969113639225,1
6000660,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,4,1,1,1,4,1,1,1.79769313486232e+308,2,2,2,2,2,"66",1814.27097883048,1
6000661,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,4,1.79769313486232e+308,2,2,2,2,2,"66",1875.24533579238,1
6000662,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,1,3,3,1,1,1.79769313486232e+308,2,2,2,2,2,"66",3276.51651717078,1
6000663,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,4,1,1,4,1,4,1.79769313486232e+308,2,2,2,2,2,"66",1418.77360586487,1
6000664,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"66",1976.1610899437,1
6000665,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,3,2,1,1,3,1,1.79769313486232e+308,2,2,1,2,2,"05",7536.72840020724,1
6000666,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,3,2,3,3,1,3,1,1.79769313486232e+308,2,2,2,2,2,"05",3383.12380062148,1
6000667,1,1,1,1,2,1,6,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,4,2,2,1,2,3,3,4,1.79769313486232e+308,2,1,1,2,1,"05",3826.64680080901,1
6000668,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,1,2,1,2,3,1,1.79769313486232e+308,2,2,2,2,2,"05",4275.41902797824,1
6000670,1,1,1,1,1,1,6,2,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,3,1,3,1,3,1.79769313486232e+308,2,1,2,2,1,"05",3566.14849726302,1
6000671,1,1,1,1,1,1,6,1,1.79769313486232e+308,1,1,2,1,2,1,1.79769313486232e+308,1,1,1,1,1.79769313486232e+308,4,4,4,4,4,4,4,4,1.79769313486232e+308,2,2,2,2,2,"05",3313.44827931224,1
6000672,1,1,1,1,1,1,6,1,1.79769313486232e+308,1,1,2,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,2,"05",3790.41069122394,1
6000673,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,4,3,4,1,2,2,4,1.79769313486232e+308,2,2,2,2,2,"05",5440.64419601896,1
6000675,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",4697.05709141959,1
6000676,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,4,2,1,1.79769313486232e+308,2,2,2,2,2,"05",5303.34534562918,1
6000677,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,2,"05",4275.41902797824,1
6000678,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,1,1,1,2,2,1.79769313486232e+308,2,2,2,2,2,"05",4697.05709141959,1
6000679,1,1,1,1,2,1,5,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",6247.69793226666,1
6000680,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"05",454.943171782587,1
6000682,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,2,1.79769313486232e+308,2,2,2,2,2,"05",576.074781916388,2
6000683,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,1,2,1,2,1.79769313486232e+308,2,1,1,1,1,2,1,2,1.79769313486232e+308,1,1,1,1,2,"05",663.748241737426,1
6000684,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,2,1,1,1,2,2,1,1.79769313486232e+308,2,2,1,1,2,"05",541.16846169849,2
6000685,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,3,1,3,3,1,1.79769313486232e+308,2,2,2,2,2,"05",565.417457289292,2
6000686,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"05",551.825786325586,2
6000687,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,1,4,1,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,1,"05",565.417457289292,2
6000688,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,2,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"05",563.950284120987,2
6000689,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,4,2,2,1,2,2,2,1.79769313486232e+308,2,1,2,1,1,"05",576.074781916388,2
6000690,1,1,1,1,1,5,7,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,1,2,2,1.79769313486232e+308,1,1,2,2,1,1,2,1,1.79769313486232e+308,1,2,2,2,2,"05",453.225841188867,1
6000691,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,2,4,2,2,1,1,4,4,1.79769313486232e+308,2,1,2,1,2,"05",798.03235518521,1
6000692,1,1,1,1,3,5,6,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,2,1,2,2,2,1.79769313486232e+308,2,2,2,2,2,"05",952.748625026477,1
6000693,1,1,1,1,1,5,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,4,1,1,1,3,3,2,1.79769313486232e+308,2,1,2,2,1,"05",529.043963903089,2
6000694,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,2,1,4,3,1,1.79769313486232e+308,2,1,1,2,2,"05",577.541955084692,2
6000695,1,1,1,1,1,3,4,6,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,1,2,2,"05",418.989838397369,1
6000696,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,1,"05",623.857528715214,1
6000698,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,2,1,1,2,1,1.79769313486232e+308,1,2,2,2,2,"05",326.291948996813,1
6000699,1,1,1,1,1,1,6,2,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",418.989838397369,1
6000700,1,1,1,1,1,1,6,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",529.539206216013,1
6000701,1,1,1,1,1,1,4,2,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",623.094582582864,1
6000702,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",468.528455255041,1
6000703,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,1,2,2,"05",313.668096016421,1
6000704,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,1,1,2,1,1,2,1,1.79769313486232e+308,2,2,1,2,2,"05",490.556273940039,1
6000705,1,1,1,1,1,1,6,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"05",659.212003003402,1
6000706,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,2,"05",759.425919190171,1
6000707,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,2,4,1.79769313486232e+308,2,2,2,2,2,"05",322.083737568452,1
6000709,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",718.67896276036,1
6000710,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,1,2,1,1.79769313486232e+308,1,1,2,2,2,"05",482.418365913728,1
6000711,1,1,1,1,2,1,4,2,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",483.684423592023,1
6000712,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",468.528455255041,1
6000713,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,1,2,2,2,1,1.79769313486232e+308,2,2,2,2,2,"05",843.593510573712,1
6000714,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",680.083138458696,1
6000715,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,2,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,1,2,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"05",567.260763531584,1
6000716,1,1,1,1,2,1,4,2,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,2,1,4,4,3,1.79769313486232e+308,2,2,2,2,2,"05",762.634466054841,1
6000717,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,1,2,2,2,3,3,3,1,1.79769313486232e+308,1,2,2,2,2,"05",438.67072441385,1
6000718,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,3,1,2,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",666.641381982704,1
6000719,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",730.7711356466,1
6000720,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,3,1,1,1.79769313486232e+308,2,2,2,2,2,"05",618.775767495045,1
6000721,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,1,1,1,1.79769313486232e+308,1,2,2,2,2,"05",1162.38065443759,1
6000722,1,1,1,1,1,1,4,2,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"05",497.545361991736,1
