DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000945	1	1	1	3	2			1			1	2	2	2	1	1		1	1	1		1	4	1				1	1					1	1	2	2	2	2	2	1	2	2	6	1		4	1	6	2	60009451	738.036317554995	3	970000	970000	323333.333333333	0
6000946	1	1	1	2	1				1			2	6								1	1	3	2										2	1	2	2	2	2	2	2	2	2	6	1		4	2		2	60009461	415.794514239934	1	90000	90000	90000	0
6000947	1	1	1	3	1						1	2	2	2	1	1					1	1	4	2										1	1	2	1	1	2	2	2	2	2	1	4		6	1	7	2	60009471	480.971666470214	2	595000	595000	297500	0
6000949	1	1	1	3	1		1					2	2	1	1	1					1	1	3	2										2	1	2	2	2	2	2	1	2	2	1	1		4	2		2	60009491	520.872767092264	2	700000	700000	350000	0
6000950	1	1	1	3	1		1	1			1	2	2	1	1	1		1	1	1		1	3	2										2	1	2	2	1	2	2	2	10		1	1		4	2		2	60009501	790.742225160708	4	602000	602000	150500	0
6000951	1	1	1	3	2			1				1	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	1	2	1	1	2	1	1		2	2		2	60009511	2558.1169175412	5	343666.666666667	343666.666666667	68733.3333333333	0
6000952	1	1	1	3	2				1			2	1	1	1	1		1		1		1	1	2										2	2	1	1	2	2	2	1	1	2	1	3		4	2		2	60009521	3035.61817587841	3	795000	795000	265000	0
6000953	1	1	1	4	3						1	1	1	1	2	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	2	1	1		2	2		2	60009531	3355.78543601153	6	2240000	2240000	373333.333333333	0
6000954	1	1	1	3	1		1					1	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	1	2	1	1	2	1	1		2	2		2	60009541	2839.05069971713	3	1149883.66666667	1149883.66666667	383294.555555556	0
6000955	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	1	1	2	2	1	1	1	2	1		4	2		2	60009551	2220.71374731538	4	1700000	1700000	425000	0
6000956	1	1	1	3	1			1			1	1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	1	1	2	1	1		2	2		2	60009561	3156.86402877919	2	1680000	1680000	840000	0
6000957	1	1	1	3	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	1	1	2	1	1	2	1	1		2	2		2	60009571	2305.08005333003	2	208333.333333333	208333.333333333	104166.666666667	0
6000958	1	1	1	4	3						1	1	1	1	1	1				1		2	1	2										1	1	2	2	2	1	2	1	1	2	6	3		2	2		2	60009581	2397.09802340273	7	1890000	1890000	270000	0
6000959	1	1	1	2	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	2	2	2	1	1	6	3		2	2		2	60009591	2009.57284163488	4	2082574	2082574	520643.5	0
6000960	1	1	1	5	4						1	1	1	1	3	1		1				1	1	1		1		1	1					1	1	2	1	2	2	2	1	10		6	1		2	2		1	60009601	1839.58172462	4	1090000	1090000	272500	0
6000961	1	1	1	4	3				1			1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	1	1	2	2	2	1	1	2	4	1		2	2		1	60009611	1919.91108194608	4	1408333.33333333	1408333.33333333	352083.333333333	0
6000962	1	1	1	5	3		1					1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	2	2	2	1	2	1	1	2	6	1		2	2		1	60009621	2017.96514808944	5	3636166.66666667	3636166.66666667	727233.333333333	0
6000963	1	1	1	4	3				1			1	1	1	2	1			1	1		1	1	2										1	1	1	1	1	1	2	1	1	1	6	1		2	2		1	60009631	2266.69234702579	5	1120000	1120000	224000	0
6000964	1	1	1	5	2						1	1	1	1	2	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	10		6	1		2	2		2	60009641	1799.41937210464	2	1533333.33333333	1533333.33333333	766666.666666667	0
6000965	1	1	1	4	1						1	1	1	1	1	1		1	1	1		1	1	1		1	1	1	1	1	1	1		1	1	1	1	2	1	2	1	10		6	1		2	2		1	60009651	1611.07075934491	2	3166666.66666667	3166666.66666667	1583333.33333333	0
6000966	1	1	1	3	1							2	3	1	1	1		1	1	1		1	1	2										2	2	2	2	2	2	2	2	8		6	5	1				2	60009661	1491.86778680157	1	2323333.33333333	2323333.33333333	2323333.33333333	0
6000967	1	1	1	2	1				1			1	1	1	1	1		1				1	1	2										1	1	2	2	2	2	2	1	10		6	3		2	2		2	60009671	784.072744365527	3	700000	700000	233333.333333333	0
6000968	1	1	1	3	1			1				1	2	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	2	4	3		2	2		2	60009681	575.660860490249	2	1098416.66666667	1098416.66666667	549208.333333333	0
6000969	1	1	1	4	2		1					1	2	1	1	1		1	1	1		1	1	1			1	1	1					1	1	1	1	2	2	2	1	10		6	1		2	2		2	60009691	803.105093064014	4	2727140	2727140	681785	0
6000970	1	1	1	3	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	2	6	1		2	2		2	60009701	718.164880772221	1	900000	900000	900000	0
6000971	1	1	1	4	3						1	1	2	1	3	1		1	1	1		1	1	2										1	1	1	2	1	1	2	1	10		6	1		2	2		2	60009711	906.748378311346	5	3408333.33333333	3408333.33333333	681666.666666667	0
6000972	1	1	1	3	1						1	1	2	1	1	1			1	1		1	1	2										1	1	2	2	2	2	2	2	1	2	1	1		2	2		2	60009721	408.228989938352	1	200000	200000	200000	0
6000973	1	1	1	3	2				1			1	2	2	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	1	10		6	1		2	2		2	60009731	1593.39213694379	5	2627500	2627500	525500	0
6000974	1	1	1	3	2		1					1	2	1	2	1					1	1	1	2										1	1	2	2	2	1	2	1	1	2	2	1		2	2		2	60009741	1292.43492757664	5	1360000	1360000	272000	0
6000975	1	1	1	3	2				1			1	2	1	2	1		1		1		1	1	2										1	1	1	1	2	2	2	1	1	2	2	1		2	2		2	60009751	1723.9313208985	3	3710000	3710000	1236666.66666667	0
6000976	1	1	1	4	2		1					1	2	1	1	1		1		1		1	1	2										1	1	1	2	2	2	2	1	1	1	2	1		2	2		2	60009761	1829.16552612849	5	1479000	1479000	295800	0
6000977	1	1	1	3	2						1	2	2	1	1	1		1		1		1	1	1					1					1	1	1	1	2	2	2	1	10		6	1		4	2		2	60009771	1966.94928697718	6	1289166.66666667	1289166.66666667	214861.111111111	0
6000978	1	1	1	4	2		1					1	2	1	2	1			1	1		1	1	2										2	2	2	1	2	2	2	2	1	2	6	1		2	2		2	60009781	1618.15558477333	2	750000	750000	375000	0
6000979	1	1	1	4	3		1					1	2	1	1	1		1		1		1	1	2										2	1	2	1	2	1	2	1	1	2	1	1		2	2		2	60009791	1763.5224001455	6	1682500	1682500	280416.666666667	0
6000980	1	1	1	5	2				1			1	2	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	2	2	1		2	2		2	60009801	1678.72803399224	5	1550000	1550000	310000	0
6000981	1	1	1	3	2						1	1	2	1	2	1				1		1	1	2										1	1	1	1	2	2	2	1	1	2	6	1		2	2		2	60009811	1588.58277622319	4	4651500	4651500	1162875	0
6000982	1	1	1	2	1		1					2	2	1	1	1		1				1	1	2										2	1	2	1	2	1	2	1	1	2	6	2		4	2		2	60009821	1729.19642772912	1	450000	450000	450000	0
6000983	1	1	1	3	2				1			1	1	1	2	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	10		6	1		2	2		1	60009831	1788.83434331794	3	0	0	0	0
6000984	1	1	1	4	2					1		1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	6	1		2	2		1	60009841	2686.47378635776	4	5860000	5860000	1465000	0
6000985	1	1	1	2	1				1			2	6								1	1	1	2										1	1	2	2	1	2	2	1	5		6	1		4	2		2	60009851	1175.85778697557	5	1252717	1252717	250543.4	0
6000986	1	1	1	2	1				1			2	6								1	1	1	2										2	1	2	1	1	2	2	1	4		3	1		4	2		2	60009861	866.649569230415	4	583000	583000	145750	0
6000987	1	1	1	3	2				1			2	2	1	1	1		1		1		1	1	2										1	1	2	1	1	2	2	1	4		2	1		4	2		2	60009871	930.812150508878	4	1020000	1020000	255000	0
6000989	1	1	1	3	1		1	1			1	2	1	1	2	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	10		6	1		4	2		2	60009891	3014.91054625019	2	1533333.33333333	1533333.33333333	766666.666666667	0
6000990	1	1	1	4	1				1			1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	2	6	1		2	2		1	60009901	2419.5772333297	2	6258333.33333333	6258333.33333333	3129166.66666667	0
6000991	1	1	1	3	3				1			1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	1	1	1	2	2	1	1	1	1	3		2	2		2	60009911	3171.0452588531	6	1940000	1940000	323333.333333333	0
6000994	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	1		1	1	1	1		1			1	1	1	1	2	2	2	1	1	1	2	1		2	2		2	60009941	1822.5053742772	2	1398958.33333333	1398958.33333333	699479.166666667	0
6000995	1	1	1	3	3				1			1	1	1	1	1		1	1	1		1	1	1				1	1					2	1	2	2	2	2	1	1	1	1	2	1		1	2		2	60009951	1944.97094524802	5	5380666.66666667	5380666.66666667	1076133.33333333	0
6000997	1	1	1	3	2						1	2	1	1	1	1			1	1		1	1	1		1			1					1	1	1	1	1	2	2	2	1	1	2	1		4	2		2	60009971	1822.5053742772	2	766666.666666667	766666.666666667	383333.333333333	0
6000999	1	1	1	3	1				1			1	1	1	1	1		1	1	1		1	1	1		1	1	1	1		1	1		1	1	1	2	2	1	1	2	1	1	1	1		2	2		2	60009991	2296.88044406296	1	4755000	4755000	4755000	0
6001000	1	1	1	2	1				1			1	1	1	1	1		1	1	1		1	1	1		1								1	1	1	2	2	1	2	2	1	1	1	1		2	2		2	60010001	1963.8930523413	1	800000	800000	800000	0
6001001	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	2	3		2	1		2	2		1	60010011	2388.69677348935	5	5631333.33333333	5631333.33333333	1126266.66666667	0
6001003	1	1	1	3	2		1	1				1	1	1	1	1		1	1	1		1	1	2										2	1	2	1	2	1	2	1	1	1	1	1		2	2		2	60010031	2514.07086180209	6	1470333.33333333	1470333.33333333	245055.555555556	0
6001004	1	1	1	3	1			1				1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	1	1		2	2		2	60010041	2296.88044406296	1	1700000	1700000	1700000	0
6001005	1	1	1	3	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	2	1	2	6	1		2	2		2	60010051	1828.92306953893	2	2857750	2857750	1428875	0
6001006	1	1	1	3	2				1			2	1	1	1	1		1	1	1		1	1	1		1		1	1		1			1	1	1	1	2	1	2	1	1	2	1	1		4	2		2	60010061	2566.33431448208	3	2458354.25	2458354.25	819451.416666667	0
6001007	1	1	1	1	1				1			2	1	1	1	1		1				1	1	2										1	1	2	1	2	1	1	1	1	2	1	1		4	2		2	60010071	1291.02856952541	1	605000	605000	605000	0
6001008	1	1	1	4	3						1	1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	2	1	1	1	2	1	1	2	1	1		2	2		1	60010081	2104.54284165134	4	2401333.33333333	2401333.33333333	600333.333333333	0
6001009	1	1	1	6	3			1			1	1	1	1	3	1		1	1	1		1	1	1		1		1	1		1			1	1	1	2	2	1	1	2	1	1	6	1		2	2		1	60010091	2060.1923818486	1	4125000	4125000	4125000	0
6001010	1	1	1	3	3				1			1	1	1	1	1		1	1	1		1	1	1					1					1	1	2	1	2	2	2	1	1	1	1	1		2	2		1	60010101	3276.94048285003	4	2595000	2595000	648750	0
6001011	1	1	1	1	1				1			1	1	1	1	1				1		2	1	2										1	1	2	1	2	1	1	1	1	1	1	1		2	2		2	60010111	2565.33536912504	4	1291000	1291000	322750	0
6001012	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	1			1	1	1					1	1	2	1	2	2	1	1	1	1	2	1		2	2		1	60010121	1731.62479467458	3	6288416.66666667	6288416.66666667	2096138.88888889	0
6001013	1	1	1	3	1				1			1	1	1	1	1		1	1	1		1	1	1		1	1		1					2	1	1	1	2	2	2	1	1	1	2	1		2	2		2	60010131	2532.99296889536	2	1129166.66666667	1129166.66666667	564583.333333333	0
6001015	1	1	1	3	2		1					1	1	1	1	1		1		1		1	1	1		1		1	1					1	1	2	1	2	2	2	1	1	1	1	1		2	2		1	60010151	1644.74925953468	3	7420000	7420000	2473333.33333333	0
6001016	1	1	1	5	2				1			2	1	1	2	1		1	1	1		1	1	1		1	1	1	1		1			1	1	2	2	2	2	1	2	1	1	6	1		4	1	1	1	60010161	1731.62479467458	3	11933333.3333333	11933333.3333333	3977777.77777778	0
6001017	1	1	1	4	1				1			1	1	1	2	1		1	1	1		1	1	1		1								1	1	1	2	2	1	2	1	1	1	2	1		2	2		2	60010171	1962.89410698426	2	3600000	3600000	1800000	0
6001018	1	1	1	4	3				1			1	1	1	2	1		1	1	1		1	1	1				1	1		1			1	1	2	2	2	1	1	1	1	1	6	1		2	2		2	60010181	2597.10212977631	3	3018833.33333333	3018833.33333333	1006277.77777778	0
6001021	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	1	1	1	2	2	1	2	1	1		2	2		2	60010211	2279.95622768377	3	1537717	1537717	512572.333333333	0
6001023	1	1	1	4	3				1			2	2	2	1	1		1		1		1	4	2										1	1	1	1	1	1	2	1	2	2	2	1		4	1	6	2	60010231	5019.58970193272	4	1775000	1775000	443750	0
6001024	1	1	1	3	1				1			2	2	1	1	1		1	1			1	5	2										1	1	2	1	1	2	2	1	8		2	1		7	1	5	2	60010241	3344.91937077597	2	150833.333333333	150833.333333333	75416.6666666667	0
6001025	1	1	1	4	3		1					2	2	1	1	1		1	1	1		1	4	1		1		1	1					1	1	2	1	1	1	2	1	2	2	2	1		7	2		2	60010251	5019.58970193272	4	2101583.33333333	2101583.33333333	525395.833333333	0
6001026	1	1	1	4	2				1			2	3	1	1	1		1		1		1	4	1			1							1	1	1	1	1	2	2	2	2	1	2	1		4	1	6	2	60010261	5019.58970193272	4	1150000	1150000	287500	0
6001027	1	1	1	5	3				1			2	2	1	1	1		1	1	1		1	4	2										1	1	1	1	1	2	2	2	1	2	2	1		6	1	4	2	60010271	4911.67238016072	5	2659946.66666667	2659946.66666667	531989.333333333	0
6001028	1	1	1	3	2				1			2	2	1	1	1		1		1		1	4	1		1			1					1	1	1	2	1	2	2	1	2	2	2	1		5	2		2	60010281	3407.96640111834	3	840000	840000	280000	0
6001030	1	1	1	2	2				1			2	2	1	1	1			1			1	4	1		1	1	1	1					1	1	2	1	1	2	2	1	2	2	2	1		7	2		2	60010301	4803.75505838871	6	315000	315000	52500	0
6001031	1	1	1	4	2				1			2	2	1	2	1		1	1	1		1	4	1		1	1	1	1	1	1			1	1	1	1	1	2	2	1	2	2	6	1		4	1	6	2	60010311	3344.91937077597	2	1993890	1993890	996945	0
6001033	1	1	1	4	1				1			2	3	1	2	1		1	1	1		1	4	2										1	1	1	1	1	2	2	2	2	2	2	1		4	1	6	2	60010331	3416.64596325013	1	1880000	1880000	1880000	0
6001034	1	1	1	4	2				1			1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	2	1		2	2		2	60010341	2968.19850587947	2	2260000	2260000	1130000	0
6001035	1	1	1	4	2				1			1	1	1	2	1		1	1	1		1	1	1				1						1	1	1	1	2	2	2	1	1	1	2	1		2	2		2	60010351	2968.19850587947	2	2691000	2691000	1345500	0
6001036	1	1	1	4	1				1			2	2	1	1	1		1	1	1		1	4	2										1	1	1	1	1	2	2	1	8		2	1		4	1	7	2	60010361	3407.96640111834	3	879166.666666667	879166.666666667	293055.555555556	0
6001037	1	1	1	5	4				1			2	2	1	2	1		1	1			1	4	2										1	1	1	1	1	2	2	1	2	2	2	1		5	1	6	2	60010371	5114.4480581648	5	1060000	1060000	212000	0
6001038	1	1	1	3	2				1			2	2	2	1	1		1	1	1		1	4	2										1	1	2	1	1	2	2	1	2	2	6	1		4	1	6	2	60010381	3273.19277830181	3	1211166.66666667	1211166.66666667	403722.222222222	0
6001039	1	1	1	3	1			1				2	2	1	1	1		1	1			1	4	2										1	1	1	1	1	2	2	1	8		2	1		6	2		2	60010391	3344.91937077597	2	192500	192500	96250	0
6001040	1	1	1	2	1				1			2	2	2	1	1		1		1		1	4	2										1	1	2	2	1	2	2	1	2	2	4	1		6	1	7	2	60010401	3407.96640111834	3	300000	300000	100000	0
6001042	1	1	1	3	2				1			2	6						1			1	4	2										1	1	1	2	1	2	2	1	8		2	1		6	2		2	60010421	5019.58970193272	4	210000	210000	52500	0
6001043	1	1	1	1	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	1	1		2	2		2	60010431	2637.48128973526	1	226666.666666667	226666.666666667	226666.666666667	0
6001044	1	1	1	4	2				1			2	2	1	1	1		1	1	1		1	4	2										1	1	1	2	1	2	2	2	8		2	1		4	2		2	60010441	3407.96640111834	3	2362833.33333333	2362833.33333333	787611.111111111	0
6001045	1	1	1	1	1				1			1	1	1	1	2		1	1	1		1	1	1		1			1					2	2	2	2	2	2	2	1	1	1	6	1		2	2		2	60010451	3502.68235574993	1	445000	445000	445000	0
6001046	1	1	1	1	1				1			1	1	1	1	1		1	1	1		1	1	1			1	1	1					1	1	1	1	1	1	2	1	1	1	2	1		2	2		2	60010461	2784.70641609938	2	490000	490000	245000	0
6001047	1	1	1	2	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	6	1		2	2		2	60010471	3502.68235574993	1	2423333.33333333	2423333.33333333	2423333.33333333	0
6001049	1	1	1	2	1				1			1	1	1	1	1		1	1	1		1	1	1		1	1	1	1					1	1	2	2	2	2	2	1	1	1	2	1		2	2		2	60010491	2490.7948031121	1	1500000	1500000	1500000	0
6001050	1	1	1	3	2				1			1	1	1	2	1		1	1	1		1	1	1		1		1	1					1	1	1	2	2	1	1	2	1	1	6	1		2	2		2	60010501	2608.24661862835	2	2495166.66666667	2495166.66666667	1247583.33333333	0
6001051	1	1	1	1	1				1			1	1	1	1	2					1	1	1	2										1	1	1	2	2	2	2	1	1	1	2	2		2	2		2	60010511	3363.791633239	1	1264306.66666667	1264306.66666667	1264306.66666667	0
6001052	1	1	1	3	1					1		1	1	1	1	1		1		1		1	1	2										1	1	1	2	2	1	2	1	1	1	2	1		2	2		2	60010521	2490.7948031121	1	2500000	2500000	2500000	0
6001053	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	4	1		2	2		1	60010531	1531.00533823368	3	9000000	9000000	3000000	0
6001054	1	1	1	4	2						1	1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	1	1		2	2		2	60010541	1713.78224242356	4	1372500	1372500	343125	0
6001055	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	2	1	2	2	2	2	1	1	1	1	1		2	2		2	60010551	1286.65588229485	3	900000	900000	300000	0
6001056	1	1	1	4	2			1				1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	2	1	2	2	2	1	1	1	2	3		2	2		1	60010561	1467.98595180584	2	1083333.33333333	1083333.33333333	541666.666666667	0
6001057	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	1	1	2	1	1	1	4	3		2	2		1	60010571	1822.44093448046	3	3630000	3630000	1210000	0
6001058	1	1	1	4	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	1	2	2	1	1	1	4	1		2	2		1	60010581	1221.39732352246	3	3350000	3350000	1116666.66666667	0
6001059	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	4	3		2	2		1	60010591	1716.02141476811	3	472500	472500	157500	0
6001060	1	1	1	1	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	1	1	2	1	1	1	6	2		1	2		2	60010601	1387.5107594374	1	1725000	1725000	1725000	0
6001061	1	1	1	3	2				1			1	1	2	1	1		1	1	1		1	1	2										1	1	1	1	1	2	1	1	1	2	1	1		2	2		2	60010611	1212.81096240993	2	8265833.33333333	8265833.33333333	4132916.66666667	0
6001062	1	1	1	4	3				1			1	1	1	2	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	1	1	4	1		2	2		2	60010621	1531.00533823368	3	3133166.66666667	3133166.66666667	1044388.88888889	0
6001063	1	1	1	4	3						1	1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	4	1		2	2		1	60010631	1370.20719002994	3	12125000	12125000	4041666.66666667	0
6001064	1	1	1	3	2				1			1	1	2	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	2	1		2	2		1	60010641	1160.48805753003	2	1579166.66666667	1579166.66666667	789583.333333333	0
6001065	1	1	1	4	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	1	1	2	1	1	1	1	3		2	2		2	60010651	1066.240268247	1	520000	520000	520000	0
6001066	1	1	1	4	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	1	1		2	2		1	60010661	1286.65588229485	3	19215000	19215000	6405000	0
6001067	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	1	1	1	1		2	2		2	60010671	1024.33856846786	3	1250000	1250000	416666.666666667	0
6001068	1	1	1	3	2					1		1	1	1	1	1		1	1	1		1	1	1		1		1						1	1	1	2	2	2	2	1	1	1	1	3		2	2		2	60010681	2543.3950249503	4	0	0	0	0
6001069	1	1	1	4	3				1			1	1	2	1	1		1	1	1		1	1	2										1	1	2	1	1	1	2	1	1	1	6	1		2	2		1	60010691	2673.17140365589	6	1200000	1200000	200000	0
6001070	1	1	1	4	2		1					1	1	1	3	1		1	1	1		1	1	2										1	1	2	1	1	1	2	1	1	1	4	1		2	2		1	60010701	1223.63649586701	2	1350000	1350000	675000	0
6001072	1	1	1	3	1					1		1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	3		2	2		2	60010721	2157.42962576154	3	1100000	1100000	366666.666666667	0
6001073	1	1	1	3	2				1			2	1	1	1	1		1	1	1		2	1	2										1	1	1	2	2	2	2	2	1	1	2	1		4	2		2	60010731	1531.00533823368	3	1433333.33333333	1433333.33333333	477777.777777778	0
6001074	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	1	1		2	2		1	60010741	2144.64620840219	5	1250000	1250000	250000	0
6001075	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	1	1	1		2	2		1	60010751	1378.79355114248	4	1120000	1120000	280000	0
6001076	1	1	1	5	4				1			1	1	1	2	1		1	1	1		2	1	2										1	1	1	2	2	2	2	2	1	1	1	1		2	2		2	60010761	1426.74854050741	6	1768000	1768000	294666.666666667	0
6001077	1	1	1	3	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	1	1	1	1	1		2	2		2	60010771	1335.1878545575	1	208333.333333333	208333.333333333	208333.333333333	0
6001078	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										2	2	2	2	2	2	2	1	1	1	1	1		2	2		1	60010781	1066.240268247	1	608333.333333333	608333.333333333	608333.333333333	0
6001079	1	1	1	4	3			1				1	1	1	4	1		1	1	1		1	1	1		1	1	1						1	1	1	2	2	1	2	2	1	1	6	1		2	2		1	60010791	1593.64452262054	4	65416666.6666667	65416666.6666667	16354166.6666667	0
6001081	1	1	1	4	1		1					1	1	1	3	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	4	1		2	2		1	60010811	1335.1878545575	1	4782500	4782500	4782500	0
6001082	1	1	1	5	1				1			1	1	1	3	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60010821	1602.0253204326	1	0	0	0	0
6001083	1	1	1	4	3		1	1				1	1	1	3	1		1	1	1		1	1	1		1		1	1					1	1	1	1	1	2	2	1	1	2	6	1		2	2		2	60010831	1779.04080119595	4	14587333.3333333	14587333.3333333	3646833.33333333	0
6001084	1	1	1	5	4				1			1	1	1	4	1		1	1	1		1	1	1		1	1	1	1					1	1	1	2	2	1	2	2	1	1	4	1		2	2		1	60010841	1623.1430070813	4	12375000	12375000	3093750	0
6001085	1	1	1	4	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	1	1		2	2		2	60010851	1066.240268247	1	5903333.33333333	5903333.33333333	5903333.33333333	0
6001086	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	1	1		2	2		2	60010861	1960.37087070694	3	353333.333333333	353333.333333333	117777.777777778	0
6001087	1	1	1	4	2				1			2	1	1	1	1		1	1	1		2	1	2										1	1	1	2	2	2	2	1	1	1	1	1		1	2		2	60010871	1960.37087070694	3	845000	845000	281666.666666667	0
6001088	1	1	1	4	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	1	1		2	2		2	60010881	1960.37087070694	3	1263000	1263000	421000	0
6001089	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	1	1	2	1	1	2	1	3		2	2		2	60010891	1674.11971498897	5	860500	860500	172100	0
6001090	1	1	1	5	1				1			1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	2	4	1		2	2		2	60010901	1335.1878545575	1	2000000	2000000	2000000	0
6001091	1	1	1	5	3				1			1	1	1	3	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	2	4	1		2	2		1	60010911	1623.1430070813	4	6508333.33333333	6508333.33333333	1627083.33333333	0
6001092	1	1	1	5	3						1	1	1	1	3	1		1	1	1		1	1	1			1	1	1					1	1	1	1	1	1	1	1	1	2	4	1		2	2		1	60010921	954.559857647366	3	4983333.33333333	4983333.33333333	1661111.11111111	0
6001093	1	1	1	5	3				1			1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	2	4	1		2	2		1	60010931	1450.68238239838	4	3400000	3400000	850000	0
6001094	1	1	1	4	3						1	1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	1	2	2	1	1	1	1	3		2	2		2	60010941	872.126781376658	4	950000	950000	237500	0
6001095	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	1	3		2	2		1	60010951	1036.00104494705	3	120000	120000	40000	0
6001096	1	1	1	4	3		1					1	1	2	1	1		1	1	1		1	1	2										1	1	2	1	2	2	2	1	1	1	2	1		2	2		1	60010961	61.6844209319214	2	1250000	1250000	625000	0
6001097	1	1	1	3	1				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	2	6	5	1				2	60010971	998.199278846657	1	1400000	1400000	1400000	0
