DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000031	1	1	1	2	2				1			1	1	2	1	1		1	1	1		1	1	1		1				1				1	1	2	2	1	1	2	1	2	1	2	1		4	2		2	60000311	97.8788764401037	4	990000	990000	247500	0
6000032	1	1	1	4	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	6	1		2	2		1	60000321	1509.67559523903	3	1600000	1600000	533333.333333333	0
6000033	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	2	1		2	2		2	60000331	1393.22888205779	3	4675833.33333333	4675833.33333333	1558611.11111111	0
6000034	1	1	1	5	3				1			1	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	4	1		2	2		1	60000341	901.189402466291	3	4125000	4125000	1375000	0
6000035	1	1	1	4	2		1					1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	1	2	2	1	2	1	1	1	1	1		2	2		1	60000351	1041.98126324301	2	3225000	3225000	1612500	0
6000036	1	1	1	6	3				1			1	1	1	2	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	7		1	1		2	2		2	60000361	854.994353526318	7	1450333.33333333	1450333.33333333	207190.476190476	0
6000037	1	1	1	5	2				1			1	1	1	2	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	7		1	1		2	2		2	60000371	399.24241311402	3	783000	783000	261000	0
6000039	1	1	1	4	2		1					1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	7		1	1		2	2		1	60000391	442.206118403276	4	2310666.66666667	2310666.66666667	577666.666666667	0
6000042	1	1	1	3	2				1			1	1	1	2	1		1	1	1		1	1	1		1		1	1					1	1	2	2	2	1	2	1	1	1	1	3		2	2		1	60000421	2533.19378375486	4	1709000	1709000	427250	0
6000043	1	1	1	5	3				1			1	1	1	2	1		1	1	1		1	1	2										1	1	2	1	2	2	2	1	1	1	2	1		2	2		1	60000431	2446.56883372698	4	3165000	3165000	791250	0
6000044	1	1	1	6	4				1			1	1	1	3	1		1	1	1		1	1	1				1	1					1	1	1	1	2	1	2	1	1	1	4	1		2	2		1	60000441	2886.80709162512	4	5300000	5300000	1325000	0
6000045	1	1	1	3	1		1	1				1	1	1	2	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	2	1	1		2	2		1	60000451	2409.22458228129	2	1000000	1000000	500000	0
6000046	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	1	2	1	1	1	1	1		2	2		2	60000461	2732.11053676786	4	2271833.33333333	2271833.33333333	567958.333333333	0
6000047	1	1	1	5	4		1					1	1	1	2	1		1	1	1		1	1	1		1	1	1	1	1				1	1	1	1	2	1	2	2	1	1	1	1		2	2		1	60000471	2814.52958604635	8	2695500	2695500	336937.5	0
6000048	1	1	1	4	3				1			1	1	1	1	2		1	1	1		1	1	1		1	1		1					1	1	1	1	1	2	2	1	1	1	1	1		2	2		1	60000481	2119.93108914143	4	3596300	3596300	899075	0
6000048	2	1	2	2	1			1				1	1	1	1	2		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	1	1		2	2		2	60000482	2119.93108914143	3	1241666.66666667	1241666.66666667	413888.888888889	0
6000049	1	1	1	3	2				1			1	1	1	2	1		1	1	1		1	1	1				1	1	1				1	1	1	1	2	2	2	1	1	1	4	1		2	2		1	60000491	1896.6395410426	2	2251500	2251500	1125750	0
6000050	1	1	1	1	1				1			1	1	1	1	1		1	1	1		1	1	1		1		1	1					1	1	1	2	2	1	2	1	1	1	1	1		2	2		2	60000501	2389.09896144105	1	1500000	1500000	1500000	0
6000051	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	1	1		2	2		2	60000511	2918.48042682157	4	0	0	0	0
6000052	1	1	1	3	2		1					1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	1	1	1		2	2		1	60000521	1611.55194865214	3	3193333.33333333	3193333.33333333	1064444.44444444	0
6000053	1	1	1	2	2					1		1	1	1	1	1		1	1			1	1	1		1	1	1						1	1	1	1	1	2	2	1	1	1	2	1		2	2		2	60000531	2347.70059775214	2	63333.3333333333	63333.3333333333	31666.6666666667	0
6000054	1	1	1	5	2				1			1	1	1	2	1		1	1	1		1	1	1		1	1	1	1					1	1	1	1	2	2	2	1	1	1	1	1		2	2		1	60000541	2157.382600729	4	2508333.33333333	2508333.33333333	627083.333333333	0
6000055	1	1	1	3	1		1	1				1	3	1	1	1		1	1	1		1	1	1					1					1	1	2	2	2	2	2	1	7		1	1		2	2		1	60000551	1844.38940895651	2	1080000	1080000	540000	0
6000056	1	1	1	5	4				1			2	1	1	1	1			1	1		1	1	2										1	1	2	1	1	1	2	1	1	1	2	1		4	2		2	60000561	1972.38982829102	6	1751476.41666667	1751476.41666667	291912.736111111	0
6000057	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	1	2	2	1	1	1	1	1		2	2		1	60000571	3217.76447283289	3	1561000	1561000	520333.333333333	0
6000058	1	1	1	7	4				1			1	1	1	2	1		1	1	1		1	1	2										1	1	1	1	2	2	1	1	1	2	4	1		2	2		1	60000581	2493.25741164453	6	2040666.66666667	2040666.66666667	340111.111111111	0
6000059	1	1	1	3	3				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	1	1	1	1		4	2		2	60000591	2634.29064486908	5	950000	950000	190000	0
6000060	1	1	1	3	1				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	1	1	1	1	2	1		4	2		2	60000601	2106.83011563794	1	1060735.83333333	1060735.83333333	1060735.83333333	0
6000061	1	1	1	1	1				1			2	1	1	1	1			1	1		1	1	2										1	1	1	1	2	2	2	1	1	1	6	2		4	2		2	60000611	2591.85256066678	4	720000	720000	180000	0
6000062	1	1	1	3	2				1			2	1	1	2	1		1	1			1	1	2										1	1	2	1	1	2	1	1	1	2	1	3		4	2		1	60000621	2510.6403761422	2	66666.6666666667	66666.6666666667	33333.3333333333	0
6000063	1	1	1	4	1				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	2	1	1	1	2	1	1		4	2		2	60000631	2782.64520154823	3	1035000	1035000	345000	0
6000064	1	1	1	4	2		1					1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	2	4	1		2	2		2	60000641	2330.55389726967	4	1435000	1435000	358750	0
6000065	1	1	1	3	2				1			2	1	1	1	1				1		1	1	2										1	1	2	1	2	2	2	1	1	2	1	1		4	2		2	60000651	163.75671762972	4	1082293.41666667	1082293.41666667	270573.354166667	0
