DIRECTORIO	NRO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P3	P5660	P1070	P4005	P4015	P4567	P8520	P8520S1	P8520S1A1	P8520S3	P8520S4	P8520S4A1	P8520S5	P4065	P4065S1	P4065S2	P4065S3	P4065S4	P5661	P5661S1	P5661S2	P5661S3	P5661S4	P5661S5	P5661S6	P5661S7	P5661S8	CANT_HOG_COMPLETOS	P1_DEPARTAMENTO	REGION	REGION_BUENAVENTURA	FEX_C
5000057	590	1	1	1	1	10-09-2016 00:00:00	2	1	4	1		1	4	1	1	3	1		2	2	2	2									1	1	08	1		2651.52263423082
5000059	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	3		1	2	1	1	3	1		2	2	2	2		1			1			1		1	08	1		3200.82793255322
5000060	590	1	1	1	1	10-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	08	1		2389.89552241935
5000062	590	1	1	1	1	10-09-2016 00:00:00	2	1	4	1		1	2	1	1	6	1		2	2	2	1		1		1			1			1	08	1		2657.77714816631
5000063	590	1	1	1	1	11-09-2016 00:00:00	2	1	4	3		1	4	1	1	3	1		2	2	2	2									1	1	08	1		2077.83799582127
5000064	590	1	1	1	1	08-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		1	1	1	1									1	1	08	1		2879.69903267848
5000065	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	2	1	1	3	1		2	2	2	2		1						1		1	13	1		2312.91275224675
5000067	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	3	1	1	3	1		2	2	2	2				1						1	13	1		1946.83221653498
5000068	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		2972.26392975369
5000069	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	1	1	1	3	1		2	2	2	2									1	1	13	1		2604.62331848826
5000070	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	3		1	2	1	1	2	1		2	2	2	2									1	1	13	1		2063.22172285473
5000072	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	3	1	1	3	1		2	2	2	2		1	1							1	13	1		1765.37585301524
5000073	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	1		2	2	2	2		1								1	13	1		2033.67582989308
5000075	590	1	1	1	1	06-09-2016 00:00:00	1	6	4	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		2343.47166193658
5000076	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	4		1	3	1	1	3	1		2	2	2	2		1								1	13	1		2096.18244977467
5000078	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2									1	1	13	1		2781.5815927798
5000080	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	1	1	1	3	1		2	2	2	2			1					1		1	13	1		2217.53401064294
5000081	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	2	1		2	2	2	2									1	1	13	1		1978.40613553537
5000082	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2		1		1				1		1	13	1		1478.10805792145
5000083	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2					1			1		1	13	1		2083.73875424328
5000084	590	1	1	1	1	07-09-2016 00:00:00	1	1	6	3		1	2	1	1	3	1		2	2	2	2					1					1	13	1		2028.22004201718
5000085	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	2	1		2	2	2	2									1	1	13	1		2791.05658410234
5000086	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2									1	1	13	1		2535.36071542656
5000088	590	1	1	1	1	07-09-2016 00:00:00	1	1	6	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		1979.41915226355
5000089	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		2343.47166193658
5000093	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		2169.74613761749
5000094	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2									1	1	13	1		2302.95066279146
5000095	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2		1								1	13	1		1992.39705165698
5000096	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		2217.53401064294
5000098	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	3		1	3	1	1	3	1		2	2	2	2							1			1	13	1		2248.03760225228
5000099	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	13	1		1950.87124813487
5000100	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2								1		1	13	1		2343.47166193658
5000101	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	13	1		2621.18931947409
5000105	590	1	1	1	1	05-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	1		1	1	1						1	70	1		784.197791475762
5000106	590	1	1	1	1	05-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	1		2	2	2	2								1		1	70	1		816.695962341926
5000107	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2		1	1							1	70	1		1031.02838636744
5000109	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	4		1	1	1	1	3	1		2	2	2	1				1		1		1		1	70	1		804.203069249562
5000110	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2			1					1		1	70	1		635.518415387353
5000111	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2			1							1	70	1		654.122621004931
5000112	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2			1							1	70	1		720.334309074987
5000113	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	1								1		1	70	1		769.225266242614
5000114	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2			1							1	70	1		952.364929439792
5000115	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2								1		1	70	1		795.193534911922
5000116	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	4		1	1	1	1	3	1		2	2	2	2									1	1	70	1		669.928296254917
5000117	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	1		2	2	2	1		1	1		1		1			1	70	1		1003.4998061685
5000118	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	1									1	1	70	1		827.130216918573
5000119	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	1	1	1	3	1		2	2	2	2									1	1	70	1		769.576664714386
5000120	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	1		2	2	2	2		1								1	70	1		908.895107993382
5000121	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	1		1						1		1	70	1		1011.5048601387
5000122	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	1	1	1	3	1		2	2	2	2									1	1	70	1		1030.67698789566
5000123	590	1	1	1	1	07-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	70	1		845.064125837573
5000124	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	3		1	1	1	1	3	1		2	2	2	2									1	1	70	1		907.353985375846
5000125	590	1	1	1	1	09-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2		1						1		1	70	1		802.310548160254
5000126	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2					1					1	70	1		879.825405176909
5000127	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	70	1		537.546044349581
5000128	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	2		1						1		1	70	1		645.113086667291
5000129	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	2							1			1	70	1		669.928296254917
5000130	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	2			1							1	70	1		749.219988468813
5000131	590	1	1	1	1	08-09-2016 00:00:00	1	8	7	4		1	1	1	1	3	1		2	2	2	2								1		1	70	1		612.916599225021
5000132	590	1	1	1	1	10-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	2		2	2	2	1				1	1			1		1	70	1		1022.97483770503
5000133	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	2		1	1	1				1		1	70	1		804.203069249562
5000134	590	1	1	1	1	10-09-2016 00:00:00	1	1	4	4		1	1	1	1	3	1		2	2	2	2			1							1	70	1		753.419590992628
5000137	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	2	1	1	2	1		2	2	2	2				1	1		1	1		1	47	1		630.191249916469
5000138	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	3	1	1	2	1		2	2	2	2		1	1	1	1	1	1	1		1	47	1		762.777317326512
5000139	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	3	1	1	3	1		2	2	2	2		1								1	47	1		797.461922622876
5000140	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	3		1	4	1	1	7	1		2	2	2	2				1		1	1	1		1	47	1		598.844878197274
5000143	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	4	1	1	6	1		2	2	2	2									1	1	47	1		939.246009905767
5000145	590	1	1	1	1	06-09-2016 00:00:00	2	1	6	3		1	2	1	1	3	1		2	2	2	2			1	1	1					1	47	1		904.561404609403
5000147	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2		1	1	1	1		1			1	47	1		639.705494885682
5000148	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2		1	1	1	1		1	1		1	47	1		639.705494885682
5000149	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2				1						1	47	1		533.040121850507
5000150	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2			1	1	1		1			1	47	1		795.585265390154
5000151	590	1	1	1	2	08-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2									1	1	47	1		485.019531889249
5000152	590	1	1	1	2	08-09-2016 00:00:00	1	1	4	2		1	3	1	1	3	1		2	2	2	2			1					1		1	47	1		485.019531889249
5000153	590	1	1	1	1	05-09-2016 00:00:00	1	1	6	1		1	2	1	1	3	1		2	2	1	2			1				1	1		1	44	1		578.851563595414
5000157	590	1	1	1	1	06-09-2016 00:00:00	1	2	6	4		1	1	2	2		1		2	2	1	2									1	1	44	1		536.80989594814
5000158	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	3		1	1	2	1	3	1		2	2	1	2			1	1	1		1	1		1	44	1		724.587213916001
5000159	590	1	1	1	1	06-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2								1		1	44	1		673.709499227935
5000160	590	1	1	1	1	06-09-2016 00:00:00	1	1	6	3		1	2	1	1	3	2		2	2	2	2			1					1		1	44	1		716.529598509213
5000163	590	1	1	1	1	07-09-2016 00:00:00	2	1	6	3		1	2	1	1	3	1		2	2	2	2									1	1	44	1		1643.8914967607
5000166	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2		1	1							1	44	1		858.742818318412
5000167	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		1	2	2	2		1	1	1	1	1	1	1		1	44	1		1744.09006286882
5000168	590	1	1	1	1	07-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2								1		1	44	1		1427.25633820344
5000169	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2		1			1		1	1		1	44	1		528.919087971255
5000170	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	44	1		673.709499227935
5000172	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	3		1	9	1	1	3	1		2	2	2	2			1	1	1		1	1		1	44	1		787.059998937462
5000173	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	44	1		702.686535852624
5000174	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2			1	1						1	44	1		829.572333382044
5000175	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	44	1		682.99360835333
5000176	590	1	1	1	1	08-09-2016 00:00:00	2	1	6	1		1	1	1	1	3	1		2	2	2	2			1							1	44	1		829.572333382044
5000177	590	1	1	1	1	08-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	44	1		791.31118763196
5000178	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		2	2	2	2									1	1	44	1		702.686535852624
5000179	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	3		1	1	1	1	3	1		1	2	2	2				1				1		1	44	1		674.01726406463
5000180	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	3		1	1	1	1	1	1		2	2	2	2			1	1	1		1			1	44	1		760.984391720266
