DIRECTORIO	NRO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P3	P5660	P1070	P4005	P4015	P4567	P8520	P8520S1	P8520S1A1	P8520S3	P8520S4	P8520S4A1	P8520S5	P4065	P4065S1	P4065S2	P4065S3	P4065S4	P5661	P5661S1	P5661S2	P5661S3	P5661S4	P5661S5	P5661S6	P5661S7	P5661S8	CANT_HOG_COMPLETOS	P1_DEPARTAMENTO	REGION	REGION_BUENAVENTURA	FEX_C
5006635	590	1	1	1	1	13-09-2016 00:00:00	1	5	7	4		1	1	2	2		2		2	2	2	2									1	1	18	3		455.129270591099
5006636	590	1	1	1	1	13-09-2016 00:00:00	1	1	6	4		1	1	1	2		1		2	2	2	2									1	1	18	3		489.334696438638
5006637	590	1	1	1	1	13-09-2016 00:00:00	1	5	6	4		1	1	2	1	2	1		2	2	2	2			1		1			1		1	18	3		563.403112479493
5006638	590	1	1	1	1	13-09-2016 00:00:00	1	5	7	4		1	1	2	2		1		2	2	2	2			1		1			1		1	18	3		466.712010646398
5006639	590	1	1	1	1	13-09-2016 00:00:00	1	5	6	4		1	1	2	1	2	1		2	2	2	2									1	1	18	3		606.171492967426
5006640	590	1	1	1	1	13-09-2016 00:00:00	1	5	5	4		1	1	2	1	2	1		2	2	2	2									1	1	18	3		576.329478647052
5006641	590	1	1	1	3	14-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		253.394714852166
5006642	590	1	1	1	3	14-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		142.710812989956
5006643	590	1	1	1	3	14-09-2016 00:00:00	1	5	7	4		2		2	2		2		2	2	2	2									1	1	18	3		159.941353921292
5006645	590	1	1	1	3	14-09-2016 00:00:00	1	5	7	4		2		2	2		2		2	2	2	2									1	1	18	3		271.518985420769
5006646	590	1	1	1	3	14-09-2016 00:00:00	1	5	7	4		2		2	2		2		2	2	2	2									1	1	18	3		117.252666283531
5006647	590	1	1	1	3	14-09-2016 00:00:00	1	5	7	4		2		2	2		2		2	2	2	2									1	1	18	3		300.900724163316
5006648	590	1	1	1	3	14-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		142.710812989956
5006649	590	1	1	1	3	14-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006650	590	1	1	1	2	14-09-2016 00:00:00	1	5	6	4		1	1	2	1	3	2		2	2	2	2			1		1					1	18	3		112.806779958762
5006651	590	1	1	1	3	14-09-2016 00:00:00	1	5	5	4		1	8	2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006652	590	1	1	1	2	01-10-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2								1		1	18	3		91.457514865577
5006653	590	1	1	1	3	14-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		118.600228500251
5006654	590	1	1	1	2	14-09-2016 00:00:00	1	1	6	4		1	1	2	1	3	1		1	2	2	2			1							1	18	3		159.941353921292
5006655	590	1	1	1	2	02-10-2016 00:00:00	1	5	6	4		1	1	2	1	3	1		2	2	2	2		1	1		1					1	18	3		111.459217742042
5006656	590	1	1	1	2	14-09-2016 00:00:00	1	5	7	4		1	1	2	1	3	1		2	2	2	2								1		1	18	3		165.16219451117
5006657	590	1	1	1	2	14-09-2016 00:00:00	1	5	6	4		1	1	1	1	3	1		2	2	2	2		1								1	18	3		163.81463229445
5006658	590	1	1	1	2	02-10-2016 00:00:00	1	5	6	4		1	1	1	1	3	1		2	2	2	2		1								1	18	3		208.85584727504
5006659	590	1	1	1	2	02-10-2016 00:00:00	1	5	6	4		1	1	1	1	3	1		2	2	2	2		1	1		1					1	18	3		319.568764425522
5006660	590	1	1	1	2	02-10-2016 00:00:00	1	5	6	4		1	1	1	1	3	1		2	2	2	2			1					1		1	18	3		228.38860188624
5006661	590	1	1	1	2	02-10-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	18	3		231.829523084901
5006662	590	1	1	1	2	14-09-2016 00:00:00	1	5	6	4		1	1	2	1	3	1		2	2	2	2									1	1	18	3		265.545912663375
5006663	590	1	1	1	2	14-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	2								1		1	18	3		232.290895547671
5006665	590	1	1	1	2	15-09-2016 00:00:00	1	1	6	4		1	1	2	1	3	1		2	2	2	2								1		1	18	3		91.457514865577
5006667	590	1	1	1	2	15-09-2016 00:00:00	1	5	7	4		1	1	2	1	3	1		2	2	2	2									1	1	18	3		163.81463229445
5006668	590	1	1	1	2	15-09-2016 00:00:00	1	1	7	4		1	1	2	1	3	1		2	2	2	2									1	1	18	3		159.941353921292
5006669	590	1	1	1	2	15-09-2016 00:00:00	1	5	7	4		1	1	2	1	3	1		2	2	2	2			1		1					1	18	3		165.16219451117
5006670	590	1	1	1	1	15-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	1		2	2	2	2									1	2	18	3		876.505827100493
5006671	590	1	1	1	3	15-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2								1		1	18	3		91.457514865577
5006672	590	1	1	1	1	15-09-2016 00:00:00	1	1	6	4		1	1	2	2		1		2	2	2	2									1	1	18	3		576.329478647052
5006673	590	1	1	1	3	15-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		130.559615178746
5006674	590	1	1	1	3	15-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2								1		1	18	3		91.457514865577
5006675	590	1	1	1	3	15-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2									1	1	18	3		163.81463229445
5006676	590	1	1	1	3	15-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006677	590	1	1	1	3	19-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2									1	1	18	3		163.81463229445
5006678	590	1	1	1	3	15-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2									1	1	18	3		117.252666283531
5006679	590	1	1	1	3	15-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006680	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	8	2	2		2		2	2	2	2								1		1	18	3		161.811210426659
5006681	590	1	1	1	3	15-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006682	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	18	3		103.210313592263
5006683	590	1	1	1	3	16-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006684	590	1	1	1	3	16-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		257.33798345429
5006685	590	1	1	1	3	16-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		111.459217742042
5006686	590	1	1	1	3	16-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006687	590	1	1	1	3	16-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		213.190498110967
5006688	590	1	1	1	3	16-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		181.506545688557
5006689	590	1	1	1	2	16-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	1		2	2	2	2									1	1	18	3		289.021935876701
5006690	590	1	1	1	2	16-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	1		2	2	2	1					1					1	18	3		240.107442522953
5006691	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	18	3		163.81463229445
5006692	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	18	3		185.267557073982
5006693	590	1	1	1	3	16-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		249.521436479008
5006694	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	2		2	2	2	2		1			1					1	18	3		365.830059462308
5006695	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	2		2	2	2	2		1								1	18	3		301.876851031416
5006696	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	2		2	2	2	2		1								1	18	3		91.457514865577
5006697	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	2		2	2	2	2		1			1					1	18	3		91.457514865577
5006698	590	1	1	1	2	16-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2			1					1		1	18	3		133.024409509306
5006699	590	1	1	1	2	16-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	2		2	2	2	2							1			1	18	3		365.830059462308
5006700	590	1	1	1	2	16-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	1		2	2	2	2		1								1	18	3		124.775505359527
5006701	590	1	1	1	2	16-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	1		2	2	2	2								1		1	18	3		167.514721853999
5006702	590	1	1	1	2	16-09-2016 00:00:00	1	5	6	4		1	1	1	1	2	1		2	2	2	2								1		1	18	3		91.457514865577
5006703	590	1	1	1	3	16-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		163.81463229445
5006704	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006705	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2									1	1	18	3		165.16219451117
5006706	590	1	1	1	3	16-09-2016 00:00:00	1	1	4	4		1	8	2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006707	590	1	1	1	3	17-09-2016 00:00:00	1	5	5	4		1	8	2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006708	590	1	1	1	3	17-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		251.986230809568
5006709	590	1	1	1	3	17-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		265.545912663375
5006710	590	1	1	1	3	17-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		257.33798345429
5006711	590	1	1	1	3	17-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		240.53979969745
5006712	590	1	1	1	3	17-09-2016 00:00:00	1	5	2	4		2		2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006713	590	1	1	1	3	17-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		173.689998713274
5006714	590	1	1	1	3	17-09-2016 00:00:00	1	5	5	4		2		2	2		2		2	2	2	2									1	1	18	3		164.27600475722
5006715	590	1	1	1	3	17-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2									1	1	18	3		163.81463229445
5006716	590	1	1	1	3	17-09-2016 00:00:00	1	5	5	4		1	8	2	2		2		2	2	2	2									1	1	18	3		359.501620997712
5006717	590	1	1	1	3	18-09-2016 00:00:00	1	5	7	4		1	8	2	2		2		2	2	2	2			1					1		1	18	3		222.876901591617
5006718	590	1	1	1	3	18-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2								1		1	18	3		118.600228500251
5006719	590	1	1	1	1	18-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	1	2	2									1	1	18	3		486.657925712377
5006720	590	1	1	1	1	18-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	2	2	2			1					1		1	18	3		434.983575895406
5006721	590	1	1	1	1	18-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		509.843325711302
5006722	590	1	1	1	3	18-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2								1		1	18	3		253.394714852166
5006723	590	1	1	1	1	18-09-2016 00:00:00	1	1	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		699.047032167477
5006724	590	1	1	1	3	18-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2								1		1	18	3		345.712001265036
5006725	590	1	1	1	3	18-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2								1		1	18	3		117.252666283531
5006726	590	1	1	1	3	18-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2								1		1	18	3		185.841196524484
5006728	590	1	1	1	3	18-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2									1	1	18	3		241.455004739673
5006729	590	1	1	1	3	18-09-2016 00:00:00	1	5	6	4		1	8	2	2		2		2	2	2	2									1	1	18	3		91.457514865577
5006730	590	1	1	1	3	18-09-2016 00:00:00	1	1	6	4		2		2	2		2		2	2	2	2									1	1	18	3		163.81463229445
5006731	590	1	1	1	1	18-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		606.534427544397
5006732	590	1	1	1	3	18-09-2016 00:00:00	1	5	6	4		2		2	2		2		2	2	2	2								1		1	18	3		123.610415553252
5006733	590	1	1	1	1	18-09-2016 00:00:00	1	5	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		501.37825515198
5006735	590	1	1	1	1	18-09-2016 00:00:00	1	1	6	4		1	2	1	1	2	1		2	2	2	2				1						1	18	3		459.400224959689
5006736	590	1	1	1	1	19-09-2016 00:00:00	2	1	7	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		457.015691021717
5006737	590	1	1	1	1	19-09-2016 00:00:00	2	1	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		598.069356985075
5006738	590	1	1	1	1	19-09-2016 00:00:00	1	1	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		592.004439344442
5006739	590	1	1	1	1	19-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		372.405442751275
5006740	590	1	1	1	1	19-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		466.712010646398
5006741	590	1	1	1	1	19-09-2016 00:00:00	1	1	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		457.015691021717
5006742	590	1	1	1	1	19-09-2016 00:00:00	1	1	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		459.400224959689
5006743	590	1	1	1	1	19-09-2016 00:00:00	1	1	6	4		1	2	1	1	2	1		2	2	2	2									1	1	18	3		737.621296464678
5006744	590	1	1	1	1	26-09-2016 00:00:00	1	1	6	4		1	2	1	1	3	1		2	2	2	2									1	2	18	3		348.810925194679
5006749	590	1	1	1	1	14-09-2016 00:00:00	2	1	4	1		1	3	1	1	3	1		2	2	2	2			1							1	91	9		716.455851015002
5006751	590	1	1	1	1	15-09-2016 00:00:00	2	1	4	4		1	3	1	1	3	2		2	2	2	2									1	1	91	9		221.907360731656
5006753	590	1	1	1	1	17-09-2016 00:00:00	2	1	4	4		1	4	1	1	3	2		2	2	2	2			1							1	91	9		1533.46872174532
5006754	590	1	1	1	1	18-09-2016 00:00:00	3	1	6	4		1	2	1	1	3	2		2	2	2	2								1		1	91	9		238.977157711014
5006756	590	1	1	1	1	22-09-2016 00:00:00	3	1	4	4		1	1	1	1	3	2		2	2	2	2				1						1	91	9		955.908630844055
5006757	590	1	1	1	1	23-09-2016 00:00:00	2	1	4	4		1	3	1	1	3	2		2	2	2	2								1		1	91	9		754.539250016631
5006758	590	1	1	1	1	24-09-2016 00:00:00	3	5	6	4		1	1	1	1	3	2		2	2	2	2									1	1	91	9		734.442877837562
5006759	590	1	1	1	1	01-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	1		2	2	2	2			1	1	1	1				1	85	9		207.220029578964
5006760	590	1	1	1	1	02-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2		1	1	1		1	1			1	85	9		402.023262500086
5006761	590	1	1	1	1	02-09-2016 00:00:00	1	1	4	4		1	2	1	1	3	1		2	2	2	2									1	1	85	9		231.79501529555
5006762	590	1	1	1	1	07-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	85	9		207.220029578964
5006763	590	1	1	1	1	08-09-2016 00:00:00	3	1	6	4		1	3	1	1	3	1		2	2	2	2									1	1	85	9		394.870378383677
5006764	590	1	1	1	1	09-09-2016 00:00:00	3	1	6	3		1	9	1	1	3	1		2	2	2	2									1	1	85	9		298.315433826033
5006765	590	1	1	1	1	10-09-2016 00:00:00	1	1	4	3		1	2	1	1	2	1		2	2	2	2			1							1	85	9		207.220029578964
5006766	590	1	1	1	1	10-09-2016 00:00:00	3	1	4	4		1	2	1	1	2	1		2	2	2	2									1	1	85	9		685.832476974922
5006767	590	1	1	1	1	12-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2		1		1			1			1	85	9		208.559782144994
5006768	590	1	1	1	1	13-09-2016 00:00:00	2	1	4	1		1	3	1	1	7	1		2	2	2	2		1								1	85	9		207.220029578964
5006769	590	1	1	1	1	13-09-2016 00:00:00	1	1	4	4		1	2	1	1	6	1		2	2	2	2									1	1	85	9		207.220029578964
5006770	590	1	1	1	1	13-09-2016 00:00:00	2	1	4	1		1	2	1	1	7	1		2	2	2	2									1	1	85	9		207.220029578964
5006771	590	1	1	1	1	13-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2									1	1	85	9		298.315433826033
5006772	590	1	1	1	1	13-09-2016 00:00:00	1	1	6	3		1	2	1	1	3	1		2	2	2	2			1				1			2	85	9		828.880118315855
5006773	590	1	1	1	1	14-09-2016 00:00:00	1	1	4	4		1	2	1	1	1	1		2	2	2	2				1						1	85	9		197.286171443554
5006774	590	1	1	1	1	14-09-2016 00:00:00	1	1	6	4		1	1	1	1	3	1		2	2	2	2		1	1							1	85	9		197.286171443554
5006776	590	1	1	1	1	16-09-2016 00:00:00	1	1	4	4		1	2	1	1	1	1		2	2	2	2									1	1	85	9		197.286171443554
5006777	590	1	1	1	1	17-09-2016 00:00:00	1	1	4	1		1	2	1	1	1	1		2	2	2	2		1								1	85	9		197.286171443554
5006778	590	1	1	1	1	19-09-2016 00:00:00	1	1	6	4		1	1	1	1	1	1		2	2	2	2							1	1		1	85	9		789.144685774215
5006779	590	1	1	1	1	19-09-2016 00:00:00	1	1	4	4		1	1	1	1	1	1		2	2	2	2									1	1	85	9		323.90884644699
5006780	590	1	1	1	1	19-09-2016 00:00:00	2	1	4	4		1	2	1	1	2	1		2	2	2	2									1	1	85	9		197.286171443554
5006781	590	1	1	1	1	20-09-2016 00:00:00	1	1	6	4		1	1	1	1	1	1		2	2	2	2									1	1	85	9		789.144685774215
5006782	590	1	1	1	1	21-09-2016 00:00:00	1	1	4	4		1	1	1	1	1	1		2	2	2	2							1			1	85	9		197.286171443554
5006783	590	1	1	1	1	21-09-2016 00:00:00	3	1	6	4		1	1	1	1	1	1		2	2	2	2									1	1	85	9		331.240826520824
5006784	590	1	1	1	1	21-09-2016 00:00:00	3	1	6	4		1	1	1	1	1	1		2	2	2	2							1	1		1	85	9		331.240826520824
5006785	590	1	1	1	1	24-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2									1	1	85	9		468.54368103057
5006786	590	1	1	1	1	26-09-2016 00:00:00	1	1	4	4		1	3	1	1	3	1		2	2	2	2									1	1	85	9		207.220029578964
5006846	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	4	1	1	3	1		2	2	2	2							1			1	68	2		1921.43732377075
5006847	590	1	1	1	1	08-09-2016 00:00:00	2	1	4	1		1	4	1	1	3	1		2	2	2	1							1			1	68	2		1941.55155415019
5006848	590	1	1	1	1	16-09-2016 00:00:00	2	1	4	1		1	4	1	1	3	1		2	2	2	2			1	1	1					1	68	2		1655.47098631882
5006849	590	1	1	1	1	16-09-2016 00:00:00	2	1	4	1		1	4	1	1	3	1		2	2	2	2		1	1							1	68	2		1757.11481021734
5006850	590	1	1	1	1	16-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2		1		1			1			1	68	2		1883.02904082671
5006851	590	1	1	1	1	17-09-2016 00:00:00	2	1	4	1		1	4	1	1	3	1		2	2	2	2									1	1	68	2		1135.47340078645
5006852	590	1	1	1	1	20-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2									1	1	68	2		1774.00273913033
5006853	590	1	1	1	1	22-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2									1	1	68	2		1904.93377537513
5006854	590	1	1	1	1	23-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2									1	1	68	2		2207.29392714212
5006855	590	1	1	1	3	26-09-2016 00:00:00	1	1	6	3		1	1	2	1	1	2		2	2	2	2								1		1	68	2		503.358843008156
5006856	590	1	1	1	3	26-09-2016 00:00:00	1	1	6	3		1	1	2	1	2	2		2	2	2	2									1	1	68	2		182.063887886813
5006857	590	1	1	1	3	26-09-2016 00:00:00	1	1	4	3		1	1	2	1	2	2		2	2	2	2									1	1	68	2		445.567469454341
5006858	590	1	1	1	3	26-09-2016 00:00:00	1	1	4	3		1	1	2	1	2	2		2	2	2	2			1							1	68	2		182.063887886813
5006859	590	1	1	1	3	26-09-2016 00:00:00	1	1	4	4		1	1	2	1	1	2		2	2	2	2			1							1	68	2		476.179164247698
5006860	590	1	1	1	3	28-09-2016 00:00:00	1	1	4	4		1	1	2	1	1	2		2	2	2	2									1	2	68	2		182.063887886813
5006861	590	1	1	1	3	28-09-2016 00:00:00	1	1	6	3		1	1	2	1	2	2		2	2	2	2			1							1	68	2		182.063887886813
5006862	590	1	1	1	3	28-09-2016 00:00:00	1	1	6	4		1	1	2	1	1	2		2	2	2	1			1							1	68	2		521.663204950142
5006863	590	1	1	1	3	28-09-2016 00:00:00	1	1	7	4		1	1	2	1	2	2		2	2	2	2								1		1	68	2		428.722417306533
5006864	590	1	1	1	3	28-09-2016 00:00:00	2	1	4	1		1	1	2	2		2		2	2	2	2									1	1	68	2		492.294561498417
5006865	590	1	1	1	3	28-09-2016 00:00:00	2	1	4	3		1	1	2	1	1	2		2	2	2	2								1		1	68	2		644.125551603163
5006866	590	1	1	1	1	29-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		1	2	2	2								1		1	68	2		1792.29679169493
5006867	590	1	1	1	1	29-09-2016 00:00:00	1	1	4	3		1	3	1	1	3	1		2	2	2	2								1		1	68	2		1676.68756234543
5006868	590	1	1	1	1	29-09-2016 00:00:00	1	1	4	3		1	3	1	1	2	1		2	2	2	2		1						1		1	68	2		1996.14442177605
5006869	590	1	1	1	1	29-09-2016 00:00:00	1	1	4	3		1	3	1	1	2	1		2	2	2	2			1			1				1	68	2		1737.38496035527
5006870	590	1	1	1	1	03-10-2016 00:00:00	1	1	4	3		1	2	1	1	2	1		2	2	2	2					1					1	68	2		1660.18401394982
5006874	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	3		1	1	2	2		1		2	2	2	2			1							1	54	2		373.625605359852
5006876	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	4		1	1	2	2		1		1	2	2	1		1	1		1					1	54	2		426.201260620481
5006877	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	4		1	1	2	2		1		2	2	2	2									1	1	54	2		1057.42477202656
5006879	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	4		1	1	2	2		1		2	2	2	2									1	1	54	2		582.867521033921
5006880	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	4		1	1	2	2		1		2	2	2	2									1	1	54	2		776.144403940793
5006881	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		834.535139659852
5006882	590	1	1	1	3	08-09-2016 00:00:00	1	1	6	4		1	1	2	2		1		2	2	2	2									1	1	54	2		633.020592624233
5006883	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2			1							1	54	2		747.784435230665
5006884	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2			1					1		1	54	2		739.409971586809
5006886	590	1	1	1	1	09-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2								1		1	54	2		929.701079753433
5006887	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	54	2		869.644130025378
5006889	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	54	2		801.473248773443
5006890	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2								1		1	54	2		623.077759387248
5006893	590	1	1	1	1	10-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2									1	1	54	2		747.642053354722
5006894	590	1	1	1	1	11-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2				1				1		1	54	2		628.188549583894
5006895	590	1	1	1	1	11-09-2016 00:00:00	1	1	6	4		1	1	1	1	2	1		2	2	2	2				1						1	54	2		747.784435230665
5006896	590	1	1	1	1	14-09-2016 00:00:00	1	1	6	1		1	2	1	1	1	1		2	2	2	2									1	1	54	2		657.124454836884
5006897	590	1	1	1	1	14-09-2016 00:00:00	1	1	4	1		1	2	1	1	1	1		2	2	2	2		1	1							1	54	2		726.962461501556
5006898	590	1	1	1	1	14-09-2016 00:00:00	1	1	6	1		1	2	1	1	1	1		2	2	2	1									1	1	54	2		726.106579940412
5006899	590	1	1	1	1	15-09-2016 00:00:00	1	1	6	1		1	2	1	1	1	1		2	2	2	2									1	1	54	2		830.925833541733
5006900	590	1	1	1	1	15-09-2016 00:00:00	1	1	6	1		1	2	1	1	1	1		2	2	2	2									1	1	54	2		848.078799902739
5006901	590	1	1	1	1	15-09-2016 00:00:00	1	1	1	1		1	2	1	1	1	1		2	2	2	2									1	1	54	2		657.124454836884
5006902	590	1	1	1	1	15-09-2016 00:00:00	1	1	2	1		1	2	1	1	1	1		2	2	2	2									1	1	54	2		614.963827863367
5006903	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2								1		1	54	2		1010.15395099436
5006904	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		380.13153805351
5006905	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		456.887457984728
5006906	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		405.3301503813
5006907	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		762.624337808974
5006908	590	1	1	1	3	16-09-2016 00:00:00	1	1	6	4		1	2	2	2		2		2	2	2	2									1	1	54	2		673.30592042543
5006909	590	1	1	1	3	17-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	1									1	1	54	2		887.293545728512
5006910	590	1	1	1	3	17-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		299.698744142334
5006911	590	1	1	1	3	17-09-2016 00:00:00	1	1	6	4		1	1	2	2		2		2	2	2	2									1	1	54	2		734.657977674365
5006912	590	1	1	1	1	12-09-2016 00:00:00	2	1	4	4		1	2	1	1	3	1		2	2	2	2									1	1	54	2		2425.51865131103
5006913	590	1	1	1	1	12-09-2016 00:00:00	2	1	4	4		1	2	1	1	3	1		2	2	2	2									1	1	54	2		1813.51599100215
